Companynumber,Latitude,Longitude,cluster
10673098,51.52771,-3.08317,0
10854957,51.46525,-2.14448,0
10854957,51.37608,-2.14423,0
11356649,51.52814,-0.4421,0
SC553315,56.11436,-3.93654,0
07125852,50.44753,-4.11082,0
07125852,50.44849,-4.11141,0
04129612,50.44753,-4.11082,0
01885075,51.87938,-1.23155,0
09484417,52.23154,-0.56353,0
03726622,52.0529,0.96642,0
05336031,53.96841,-1.14937,0
05336031,53.87505,-1.35343,0
04544909,52.08355,-4.66007,0
04544909,53.19281,-2.92586,0
00823259,52.94801,-1.46152,0
12543205,51.13854,-2.9949,0
06419526,53.99002,-1.53704,0
06419526,53.85011,-2.19724,0
08730014,53.05009,-2.24579,0
08730014,52.99395,-2.15009,0
07553427,54.35583,-2.76148,0
07553427,53.08802,-2.41765,0
07553427,50.6286,-4.37791,0
08232223,51.66505,-0.39889,0
NI607087,54.59826,-5.93349,0
NI607087,54.99988,-7.30935,0
09762837,51.8982,-2.16977,0
05956962,51.8982,-2.16977,0
10149459,51.75482,-0.3371,0
11025218,51.65977,-0.39749,0
11025218,51.76451,-0.90575,0
NI060197,55.02423,-6.41719,0
NI060197,55.12116,-6.63779,0
10831147,50.72384,-1.8663,0
10831147,50.72236,-1.86443,0
05669272,52.25791,0.64439,0
05669272,52.8617,-1.43992,0
SC513133,57.61578,-3.57122,0
SC557798,56.46368,-2.96597,0
06397669,51.24133,-0.61612,0
03488963,52.45967,-0.73367,0
07783306,52.50239,-3.33685,0
09633575,50.96107,-1.4248,0
FC036046,51.66505,-0.39889,0
07202765,53.7863,-2.89152,0
07202765,53.83343,-2.23556,0
09106601,51.39893,-1.29616,0
03645072,52.9519,-1.18381,0
09287186,51.51144,-0.5922,0
09073538,51.50384,-0.42784,0
09073538,52.65668,-0.46055,0
03350417,51.27946,0.15428,0
03350417,51.15272,0.27694,0
NI025382,54.75174,-6.22199,0
NI025382,55.07363,-6.93132,0
08020147,52.94488,-1.15601,0
08536635,52.03582,-2.68351,0
