Companynumber,Latitude,Longitude,cluster
"04658340","51.45568","-0.96805","8"
"04658340","51.45733","-0.97602","8"
"04658340","50.72017","-3.46474","0"
"12086431","51.43353","-0.69923","8"
"12086431","51.50189","-3.11416","0"
"12086431","50.8986","-1.44413","0"
"12086431","52.6722","-2.11921","4"
"12086431","50.86681","0.55212","0"
"12086431","52.45727","-2.83421","0"
"12086431","54.48471","-6.7564","0"
"12086431","53.82492","-1.15046","0"
"12086431","53.52711","-2.4165","2"
"12086431","50.96119","-1.42252","0"
"04952566","51.47529","-3.24982","0"
"09893012","51.45239","-2.54581","3"
"09893012","51.45128","-2.57388","3"
"11429051","51.58677","-0.55456","8"
"09079342","52.08833","0.01885","0"
"05097143","53.0382","-1.20374","5"
"05097143","53.13982","-1.19831","5"
"05097143","51.51323","-0.08713","7"
"05097143","51.87877","-2.19647","0"
"10471166","51.51769","-0.1322","7"
"12780803","52.19411","0.1363","0"
"12780803","52.23228","0.15117","0"
"12780803","54.60662","-5.9192","0"
"11493189","51.52124","-0.08749","7"
"11493189","52.91164","-1.18315","5"
"06479575","51.51187","-0.09447","7"
"06479575","51.51323","-0.08713","7"
"11001894","51.65542","-3.81442","0"
"07040707","51.49997","-0.13348","7"
"10267904","51.50387","-0.10038","7"
"10267904","51.45576","-0.31982","7"
"10379325","51.47662","-0.02189","7"
"10379325","51.50432","-0.07998","7"
"10379325","51.87217","0.17743","0"
"10866473","51.6032","-0.1921","7"
"10866473","51.50758","-0.10774","7"
"10499190","51.63237","-0.75754","0"
"10499190","51.61094","-0.17828","7"
"09842937","52.2905","-1.53056","4"
"11951667","53.38416","-2.35191","2"
"11951667","51.28775","1.34435","0"
"07633047","51.58237","-1.75384","0"
"07633047","51.81778","-1.30666","0"
"12420613","52.03275","-0.77038","0"
"04287879","51.52106","-0.08006","7"
"09822653","51.50738","-0.10683","7"
"10888253","51.86733","-2.33015","0"
"10888253","50.8778","-1.25191","0"
"10161841","51.52106","-0.08006","7"
"07347104","54.13757","-1.56536","0"
"07347104","54.1336","-1.54511","0"
"06038406","52.23936","-0.89091","6"
"10271134","52.62474","1.2245","0"
"10005971","53.79486","-1.54662","0"
"10005971","53.83165","-1.43766","0"
"09793578","51.50271","-0.01935","7"
"07832826","51.28786","0.43834","0"
"10149459","51.75482","-0.3371","7"
NI614697,"54.99997","-7.32333","0"
"06397669","51.24133","-0.61612","0"
"07485799","51.50997","-0.08674","7"
"03488963","52.45967","-0.73367","6"
"07783306","52.50239","-3.33685","0"
"07864369","51.378","-2.36067","3"
"07864369","51.19115","0.27532","0"
"07864369","51.45408","-2.56881","3"
"07864369","51.91925","0.93114","0"
"07864369","51.80173","-0.18677","7"
"07864369","55.93076","-3.3005","1"
"07864369","51.6203","-0.7787","8"
"07864369","52.53832","-0.31878","0"
"07864369","51.51396","-0.12258","7"
"07864369","51.51875","-0.17298","7"
"07864369","51.51901","0.14439","7"
"07864369","54.91136","-1.53782","0"
"07864369","51.43389","0.23692","7"
"12864350","51.5149","-0.10254","7"
"12864350","51.52485","-0.08967","7"
NI620807,"54.59342","-5.9294","0"
NI620807,"51.50588","-0.08349","7"
"09209151","53.48622","-2.22766","2"
"04227511","51.64764","-0.42818","7"
"11299092","52.28325","-1.58599","4"
"11299092","51.51076","-0.08262","7"
"11652342","51.51206","-0.13911","7"
"11652342","51.51965","-0.07045","7"
"11652342","55.86226","-4.26095","0"
"10504047","51.71796","-2.52305","3"
"10504047","53.61218","-0.65642","0"
"10504047","51.51195","-0.09308","7"
"10504047","51.45616","-2.57146","3"
"10504047","51.71795","-2.52305","3"
"02632608","52.93885","-1.4668","5"
"09931232","51.51206","-0.13677","7"
"10196447","51.35652","-0.11774","7"
"10196447","55.93052","-3.24435","1"
"10723179","53.48237","-2.23458","2"
"10695004","53.22788","-0.55758","0"
"10695004","53.22758","-0.55858","0"
"10695004","53.18109","-0.47309","0"
"08412581","51.51396","-0.12635","7"
"08412581","51.50468","-0.09762","7"
"03546594","53.48237","-2.23458","2"
"09922979","53.94908","-1.04736","0"
"09922979","54.0163","-0.9729","0"
"07515439","52.96405","-1.46226","5"
"08677559","51.51187","-0.09447","7"
"08677559","51.54234","-0.14776","7"
"07577102","51.44423","-2.58125","3"
"12193366","52.60199","-2.12713","4"
"09410329","51.51572","-0.10238","7"
"09410329","51.50882","-0.1956","7"
"09381839","51.50588","-0.08349","7"
"09922991","52.77678","-2.42564","0"
"09922991","55.86604","-3.20126","1"
"09922991","51.16465","-2.53897","3"
"09922991","55.05815","-3.60254","0"
"09922991","52.06982","-0.6308","0"
"10215523","52.16139","-1.68849","4"
"10215523","51.5156","-0.1044","7"
"09845469","51.48239","-3.16963","0"
"09845469","51.48296","-3.17752","0"
"08861678","52.59573","-1.19131","5"
"08861678","52.73195","-1.38675","5"
"07738820","51.45758","-0.9702","8"
"07738820","51.45808","-0.97271","8"
"02291152","51.35846","-0.18926","7"
"02291152","54.7784","-1.53709","0"
"02291152","50.7334","-1.9877","0"
"02291152","52.38366","0.22302","0"
"02291152","52.39682","0.13519","0"
"09956874","51.52383","-0.08575","7"
"09956874","51.52585","-0.08908","7"
OC433946,"52.01901","0.23688","0"
OC433946,"51.80585","-1.12919","0"
OC433946,"52.56291","1.34323","0"
"12368721","51.50146","-0.09748","7"
"12368721","53.76739","-0.3414","0"
"13091365","50.72184","-3.52543","0"
"13091365","50.72501","-3.52388","0"
"11121433","51.49998","-0.13348","7"
"11121433","51.51664","-0.08878","7"
"11121433","51.51689","-0.07834","7"
"10950975","51.52937","-0.26451","7"
"08441845","51.43312","-0.09473","7"
"08441845","51.46503","-0.10295","7"
"08011225","52.40015","-0.72958","6"
"08011225","51.57232","-0.76616","8"
"09647137","51.80942","-0.35491","7"
"10917449","51.51704","-0.08951","7"
"10917449","51.51334","-0.0911","7"
"03835180","51.45224","-0.96537","8"
"03236572","52.20102","0.12598","0"
"10548548","54.16173","-2.76195","0"
"10548548","55.86604","-3.20126","1"
"11631618","51.50494","-0.0195","7"
"06973781","54.008","-1.67143","0"
"10188787","52.65017","-0.53352","6"
"10188787","51.49153","-0.26256","7"
"03366871","52.58375","-2.07056","4"
"11013865","53.86075","-0.98909","0"
"03114289","52.04923","-0.71171","0"
"03114289","52.0488","-2.4289","0"
"11310004","51.45158","-0.00684","7"
"06444123","51.50905","-2.68244","3"
"06444123","51.5028","-2.67942","3"
"12123857","51.50715","-0.12673","7"
"12123857","51.52098","-0.07735","7"
"07710092","52.46866","-1.92334","4"
"07710092","52.19584","-2.22286","4"
"10666593","52.33637","-1.88148","4"
"10666593","53.32269","-1.15809","5"
"10666593","52.49464","-0.67374","6"
"10666593","52.70176","-1.32842","5"
"07575440","52.58074","-1.14043","5"
"07575440","52.50294","-1.8598","4"
"07575440","52.56962","-1.21692","5"
"07575440","53.18951","-1.34594","5"
"07575440","53.22358","-0.52419","0"
"07575440","52.93518","-1.18162","5"
"09935231","51.65884","-0.25654","7"
"09935231","51.59215","-0.2543","7"
"09935231","51.54234","-0.14776","7"
"08527972","51.26399","-0.15297","7"
SC485143,"55.97426","-3.16595","1"
SC485143,"51.64491","0.08895","7"
"06904554","52.33637","-1.88148","4"
"06904554","53.32269","-1.15809","5"
"06904554","52.49464","-0.67374","6"
"06904554","52.70176","-1.32842","5"
"11769766","51.529","-0.08768","7"
SC258100,"55.8618","-4.25618","0"
"03646102","52.33637","-1.88148","4"
"03646102","53.32269","-1.15809","5"
"03646102","52.49464","-0.67374","6"
"03646102","52.70176","-1.32842","5"
"09213391","53.29906","-3.06732","0"
"09512194","50.75889","-2.07473","0"
"09512194","51.51554","-0.19182","7"
"10664256","53.59179","-2.86028","2"
"10222686","51.52974","-0.08051","7"
"10222686","51.52579","-0.08097","7"
"08170845","53.34577","-2.67137","2"
SC531058,"56.45957","-2.96163","0"
"03792454","54.19473","-3.09095","0"
"03792454","53.47584","-2.24196","2"
"08210815","52.63304","1.28814","0"
"10324982","52.64394","1.212","0"
"10324982","52.62268","1.21984","0"
"10324982","52.64384","1.21438","0"
"10912969","53.45985","-2.7318","2"
"10912969","55.94346","-3.20246","1"
"10912969","55.95752","-3.18823","1"
"09340737","53.41929","-2.3048","2"
"09340737","52.2277","-0.8595","6"
"09340737","51.49382","-0.21588","7"
"12981254","51.47491","-0.18179","7"
"10540589","51.49724","-0.01865","7"
"11010859","53.99171","-1.536","0"
"11010859","52.47893","-1.90294","4"
"09577294","51.64432","-0.16976","7"
"09577294","51.76349","0.00516","7"
"06432596","50.83257","-0.78077","0"
"06432596","50.81916","-0.5964","0"
"00430877","50.97293","-0.14412","0"
"10765773","51.5709","-3.00022","0"
"10765773","51.58208","-2.99186","0"
NI649038,"54.599","-5.93065","0"
"06055393","51.58279","-0.2413","7"
"06055393","51.615","-3.71184","0"
"06055393","53.48259","-2.35446","2"
"06055393","51.49265","-0.26025","7"
"06055393","51.21533","-0.79954","0"
"06055393","51.77781","-1.26536","0"
"06055393","51.49461","-0.17402","7"
"06055393","51.75153","-0.33983","7"
"06055393","51.4583","-0.1663","7"
"06055393","51.53366","-0.17172","7"
"06055393","51.49909","-0.22251","7"
"06055393","51.5143","-0.13445","7"
"06055393","51.51477","-0.20424","7"
"04954144","51.5149","-0.10254","7"
"04954144","50.69801","-4.16517","0"
"07893709","51.52191","-0.08279","7"
"06279529","53.48284","-2.24563","2"
"12226451","51.61949","-0.06305","7"
"11632704","50.71953","-1.97799","0"
"12070118","53.42425","-2.83268","2"
"10078453","51.51477","-0.0721","7"
"10246065","53.642","-2.32382","2"
"10246065","53.64238","-2.32276","2"
SC536201,"56.64355","-2.89138","0"
SC536201,"56.80903","-2.65565","0"
SC536201,"56.71571","-2.46706","0"
