Companynumber,Latitude,Longitude,cluster
"11939414","51.49652","-0.14645","19"
"11939414","51.28132","-1.06022","0"
"11939414","51.49678","-0.14349","19"
"11939414","53.47827","-2.24756","8"
"11939414","53.19502","-2.87908","0"
"11939414","53.38038","-1.46278","10"
"11939414","51.53202","-0.8619","0"
"11939414","51.5167","-0.08596","19"
"11939414","51.41556","-0.73969","0"
"11939414","51.51109","-0.09119","19"
"11354629","51.49652","-0.14645","19"
"11354629","51.28132","-1.06022","0"
"11354629","51.49678","-0.14349","19"
"11354629","53.47827","-2.24756","8"
"11354629","53.19502","-2.87908","0"
"11354629","53.38038","-1.46278","10"
"11354629","51.53202","-0.8619","0"
"11354629","51.5167","-0.08596","19"
"11354629","51.41556","-0.73969","0"
"11354629","51.51109","-0.09119","19"
"07466050","51.49652","-0.14645","19"
"07466050","51.28132","-1.06022","0"
"07466050","51.49678","-0.14349","19"
"07466050","53.47827","-2.24756","8"
"07466050","53.19502","-2.87908","0"
"07466050","53.38038","-1.46278","10"
"07466050","51.53202","-0.8619","0"
"07466050","51.5167","-0.08596","19"
"07466050","51.41556","-0.73969","0"
"07466050","51.51109","-0.09119","19"
"03847202","51.49652","-0.14645","19"
"03847202","51.28132","-1.06022","0"
"03847202","51.49678","-0.14349","19"
"03847202","53.47827","-2.24756","8"
"03847202","53.19502","-2.87908","0"
"03847202","53.38038","-1.46278","10"
"03847202","51.53202","-0.8619","0"
"03847202","51.5167","-0.08596","19"
"03847202","51.41556","-0.73969","0"
"03847202","51.51109","-0.09119","19"
"11938544","53.48015","-2.23972","8"
"10785799","51.89894","-1.14843","0"
"11882245","52.47251","-1.92262","12"
"08705643","51.53551","-0.10535","19"
"08705643","55.9531","-3.19669","3"
"08705643","52.15016","0.13996","14"
"08705643","53.32468","-2.7329","0"
"07608360","51.52562","-0.08363","19"
"04394772","51.51048","-0.08654","19"
"04394772","51.51995","-0.08266","19"
"04394772","53.75978","-2.73041","0"
"04394772","51.54912","-2.55992","5"
SC565267,"55.85934","-4.25057","2"
"03551888","50.72578","-3.47241","0"
"03551888","57.19608","-2.19987","0"
"03551888","51.50584","-0.09982","19"
"09787762","51.4632","-0.13191","0"
SC325433,"56.46104","-2.96725","0"
SC325433,"56.46058","-2.97874","0"
SC325433,"51.51695","-0.0838","19"
SC325433,"55.94379","-3.2078","3"
SC325433,"55.86529","-4.25736","2"
"07661816","51.46991","-0.14995","19"
SC371716,"55.95338","-3.18812","3"
SC371716,"53.79486","-1.54662","9"
"09901641","51.29484","-0.3276","0"
"05569666","51.10235","-1.78199","0"
"05569666","51.06728","-1.84424","0"
"05569666","51.44854","-2.58708","5"
"05569666","50.90994","-1.40866","0"
"10548804","51.51319","-0.13684","19"
"10548804","51.522","-0.14395","19"
"06690289","53.79128","-1.56553","9"
