Companynumber,Latitude,Longitude,cluster
OC331235,"51.52072","-0.13583","0"
OC331235,"52.20015","0.12682","0"
OC331235,"51.52355","-0.12581","0"
"09064488","51.53017","-0.07548","0"
"09064488","51.49423","-0.06147","0"
"07793895","51.51477","-0.07701","17"
"07793895","51.51642","-0.07749","17"
"07793895","51.51694","-0.07793","17"
"12240489","51.51067","-0.08078","17"
"10561447","51.52222","-0.08418","17"
"11976726","51.51348","-0.08767","17"
"11976726","53.20642","-4.18274","0"
"11976726","50.72392","-1.86367","0"
"11976726","53.99264","-1.5376","7"
"11976726","51.40856","0.01059","0"
"10473835","51.54234","-0.14776","0"
"10473835","51.5409","-0.14326","0"
OC321845,"51.51454","-0.13048","0"
OC321845,"51.51484","-0.13171","21"
"11097258","51.51672","-0.13854","21"
"11097258","51.51596","-0.12086","20"
"10534682","51.51642","-0.07749","17"
"11148681","51.51352","-0.13527","21"
"10411015","51.51754","-0.10827","19"
"10411015","53.79742","-1.55144","7"
"10873114","51.45568","-0.96805","0"
"11262659","51.51754","-0.10827","19"
"11262659","53.79742","-1.55144","7"
"07479524","51.52208","-0.08631","17"
"10548804","51.51319","-0.13684","21"
"10548804","51.522","-0.14395","0"
"11249274","51.50494","-0.01952","11"
"11249274","51.50732","-0.07371","0"
"11047186","51.5143","-0.13488","21"
"11047186","51.51827","-0.11019","19"
"11047186","51.5133","-0.13316","21"
"00987011","51.45536","-0.96566","0"
"00987011","50.87828","-1.24419","0"
"00987011","52.19483","0.13658","0"
"10956809","51.5273","-0.08889","17"
"10956809","51.53946","-0.1496","0"
"09265254","51.51055","-0.08419","17"
"09265254","51.50273","-0.09256","0"
"03519663","51.51452","-0.09486","17"
"03519663","54.97127","-1.62144","2"
"12954235","51.50758","-0.10774","16"
"09537047","51.51361","-0.08079","17"
"09597755","51.50758","-0.10774","16"
"06909772","51.44793","-2.59657","6"
"06909772","51.45086","-2.58697","6"
"08998951","51.51361","-0.08079","17"
"12500702","51.52024","-0.08563","17"
"09871211","51.51055","-0.08419","17"
"09871211","51.50273","-0.09256","0"
"11155938","51.50168","-0.1922","0"
"11155938","51.50271","-0.01935","11"
"07464840","52.4826","-1.89642","9"
"07464840","51.89894","-1.14843","0"
"07464840","51.51526","-0.08402","17"
"10910489","51.50316","-0.21638","12"
"05959188","51.51113","-0.0872","17"
"05959188","51.51172","-0.08476","17"
"11065412","51.5273","-0.08889","17"
"07783919","51.58021","-0.33953","0"
"07783919","51.49739","-0.08078","0"
"08194208","51.90067","-2.08063","10"
"08194208","51.51875","-0.17298","13"
"08372083","51.52697","-0.13944","0"
"10045407","51.51545","-0.10668","19"
"10045407","51.50349","-0.11564","0"
"12136011","51.5149","-0.10254","18"
"09325294","53.41627","-2.16982","5"
"09325294","51.52562","-0.08363","17"
"09543077","51.49614","-0.22424","12"
"12204258","51.50753","-0.12615","0"
"12204258","51.50944","-0.13316","0"
"12912012","51.51345","-0.08548","17"
"12912012","53.47898","-2.25224","5"
"12912012","51.51477","-0.08339","17"
"10109626","51.52697","-0.13944","0"
"10109626","51.49435","-0.14009","14"
"08100986","51.46375","-3.16028","3"
"08100986","51.47524","-3.18594","3"
"11087893","51.44793","-2.59657","6"
"11087893","51.45086","-2.58697","6"
"09066452","51.50738","-0.10683","16"
"11666126","51.4955","-0.17996","0"
