Companynumber,Latitude,Longitude,cluster
"05913305","51.51902","-0.05811","21"
"05913305","51.51071","-0.14586","21"
SC389144,"55.95333","-3.20874","3"
SC389144,"55.93414","-3.31064","3"
SC389144,"52.00255","-0.79764","16"
"09093331","51.7602","-1.26132","18"
"07068933","52.10118","-2.32426","0"
"07068933","51.44333","-2.5679","8"
"06912622","53.99292","-1.55096","0"
"06912622","53.79904","-1.57064","12"
"11160393","51.50087","-2.47757","8"
"03761340","53.27433","-2.76821","0"
"06927267","51.2837","-0.7548","0"
"10489088","51.52631","-0.07765","21"
"10489088","51.52387","-0.09655","21"
"10342164","51.51988","-0.07838","21"
"10342164","52.05359","1.14687","0"
"10342164","51.51703","-0.08161","21"
"10342164","52.05895","1.279","0"
"05857689","53.27433","-2.76821","0"
"05857689","54.55494","-5.94668","1"
"02901671","53.27433","-2.76821","0"
"02901671","53.30225","-2.37319","11"
"02901671","51.21624","0.24384","0"
"05439023","51.52226","-0.11516","21"
"12086431","51.43353","-0.69923","0"
"12086431","51.50189","-3.11416","6"
"12086431","50.8986","-1.44413","7"
"12086431","52.6722","-2.11921","9"
"12086431","50.86681","0.55212","0"
"12086431","52.45727","-2.83421","0"
"12086431","54.48471","-6.7564","0"
"12086431","53.82492","-1.15046","0"
"12086431","53.52711","-2.4165","11"
"12086431","50.96119","-1.42252","7"
"10591395","52.0617","0.19153","15"
"10591395","52.21402","0.12506","15"
"08536866","52.05731","0.23766","15"
"03900676","51.51531","-0.08749","21"
"05644976","51.50534","-0.0813","21"
"05644976","51.51525","-0.08036","21"
"05644976","53.9606","-1.08182","0"
"05644976","54.83142","-1.48264","4"
"05644976","51.27582","0.52","19"
"05644976","55.86264","-4.25717","2"
"03624322","51.49198","-0.12591","21"
"10959095","51.57946","-1.30808","17"
"04394772","51.51048","-0.08654","21"
"04394772","51.51995","-0.08266","21"
"04394772","53.75978","-2.73041","0"
"04394772","51.54912","-2.55992","8"
"01947990","51.81343","-2.27169","8"
"01947990","51.96438","-0.26531","0"
"01947990","53.32936","-1.90814","0"
SC624904,"55.86837","-4.27362","2"
SC624904,"53.7735","-2.72211","0"
SC450178,"55.95996","-3.20108","3"
SC450178,"51.45523","-2.59697","8"
SC450178,"51.51771","-0.12324","21"
SC450178,"55.86226","-4.26095","2"
"01126814","51.34177","-0.26556","0"
"10473835","51.54234","-0.14776","21"
"10473835","51.5409","-0.14326","21"
"02785760","52.60551","-1.23295","0"
"05590678","51.51918","-0.11425","21"
"05590678","51.43681","-0.88364","0"
"09018507","52.19685","0.12923","15"
"03647007","51.50271","-0.01935","0"
SC421988,"55.8658","-4.14495","2"
SC421988,"52.39557","-1.26565","0"
SC421988,"54.86292","-6.27825","0"
SC421988,"53.41501","-2.54347","11"
"06587071","51.50914","-0.08481","21"
"06587071","51.53274","-0.12213","21"
"06587071","52.07748","0.18811","15"
"10185006","51.51418","-0.09358","21"
"10185006","52.19415","0.13573","15"
"10185006","51.52538","-0.12824","21"
"10185006","51.45532","-2.59242","8"
"11493189","51.52124","-0.08749","21"
"11493189","52.91164","-1.18315","14"
"03760042","51.51252","-0.08713","21"
"09829727","52.23104","0.14547","15"
"08484947","51.52502","-3.2448","6"
"08484947","51.50604","-3.18534","6"
"05780057","52.25723","0.05517","15"
"08774096","51.5229","-0.13737","21"
"08774096","52.13268","0.20544","15"
"10333201","52.25009","0.68795","0"
"10333201","52.19498","0.13403","15"
"10775328","51.5101","-0.06795","21"
"10775328","51.52942","-0.07524","21"
"10451879","50.94928","0.25039","0"
"10451879","51.51126","-0.12695","21"
"09144647","52.13732","0.20368","15"
"09144647","52.11657","0.22007","15"
"09816291","51.51875","-0.17298","21"
"12744641","51.51988","-0.07839","21"
"08553682","53.22917","-3.00737","0"
"06786351","52.21633","-0.02692","15"
"06786351","52.18626","-0.0088","15"
"07919560","52.19498","0.13403","15"
"07919560","51.51754","-0.11983","21"
"08518373","51.6327","-0.09898","0"
"10053319","54.60126","-1.26572","0"
"08639168","51.6439","0.05249","0"
"08639168","51.87003","0.16273","0"
"02451177","52.17446","0.13514","15"
"07993440","51.51611","-0.10898","21"
"07993440","51.50738","-0.10683","21"
"07933058","52.20885","0.09046","15"
"05823830","53.50268","-1.47314","13"
"09484417","52.23154","-0.56353","0"
"09212331","51.57347","-0.76144","0"
"09212331","51.28867","-0.38413","0"
"11349913","53.34412","-2.63709","11"
SC331604,"55.94812","-3.20984","3"
SC331604,"53.15617","-3.13292","0"
SC331604,"57.54078","-4.33293","0"
SC331604,"57.47913","-4.22844","0"
"11572352","51.52697","-0.13944","21"
"11572352","51.50917","-0.13748","21"
"13119746","51.62123","-1.29397","17"
"06456207","51.62123","-1.29397","17"
"11253633","51.52106","-0.08006","21"
"05386932","52.32238","-0.0703","15"
"10045407","51.51545","-0.10668","21"
"10045407","51.50349","-0.11564","21"
"06235381","51.51672","-0.10695","21"
"06235381","51.52422","-0.10535","21"
"04977031","54.97226","-1.60532","4"
"11105434","52.48129","-1.89608","9"
"11105434","50.82794","-0.14132","0"
"04364671","53.38875","-1.37152","13"
"09955881","51.68827","-1.29282","0"
"09955881","51.62415","-1.2964","17"
"04160275","52.25302","-1.73481","9"
"04160275","53.41166","-2.76582","11"
"08284658","52.13732","0.20368","15"
"12063780","51.66792","-0.56397","0"
"09570139","51.3989","-0.24952","0"
"09570139","51.52662","-0.08432","21"
SC566994,"55.86691","-4.27502","2"
SC566994,"55.86021","-4.24545","2"
"11563620","53.46223","-2.22848","11"
"11831615","51.43365","0.75078","0"
"05348371","53.56273","-2.02129","0"
"10687625","51.51611","-0.10898","21"
"06277352","51.51282","-0.08621","21"
SC548124,"55.95537","-3.22351","3"
SC548124,"55.83541","-3.95623","2"
"11951667","53.38416","-2.35191","11"
"11951667","51.28775","1.34435","0"
