Companynumber,Latitude,Longitude,cluster
"05913305","51.51902","-0.05811","13"
"05913305","51.51071","-0.14586","13"
"07360585","51.50354","-0.11046","13"
"07828647","53.72308","-2.46112","7"
"07828647","55.8322","-4.03124","4"
"07828647","51.51784","-0.1102","13"
"01250443","51.40796","-0.68865","13"
"01250443","52.83508","-1.27772","8"
"01250443","52.21214","0.11383","10"
"01250443","55.85799","-3.19376","3"
"01250443","53.29899","-2.91582","7"
"01250443","53.59801","-2.29436","7"
"11710336","51.51042","-0.39371","13"
"11693136","53.79532","-1.54549","8"
"11693136","51.98981","-1.0718","0"
"11693136","54.00856","-2.78514","0"
"02564354","51.5189","-0.15637","13"
"02564354","56.01948","-3.72482","0"
"02564354","52.57419","-0.2393","0"
"02564354","51.48518","-0.50554","13"
"02564354","52.51134","-1.81975","9"
"02564354","60.45749","-1.27406","0"
"00631825","54.9811","-1.56566","5"
"00631825","54.89948","-1.49332","5"
"00631825","54.95313","-1.50677","5"
"00631825","54.97032","-1.5231","5"
"00631825","53.42697","-2.25122","7"
"00631825","53.55409","-0.67958","0"
"11067668","51.496","-0.23082","13"
"07068933","52.10118","-2.32426","0"
"07068933","51.44333","-2.5679","6"
"06614239","53.79777","-1.54878","8"
"06614239","51.49552","-0.14602","13"
"06614239","51.51109","-0.09119","13"
"06912622","53.99292","-1.55096","8"
"06912622","53.79904","-1.57064","8"
SC293690,"55.94637","-2.8972","3"
"05708056","52.9521","-1.15533","8"
"05708056","51.39723","0.53939","0"
"11175091","52.07784","-1.02417","0"
SC370321,"55.85142","-4.2839","4"
SC370321,"55.86081","-4.25291","4"
SC595075,"55.95636","-3.18838","3"
SC595075,"55.86081","-4.25291","4"
"03877095","53.2825","-1.28934","8"
"11062616","51.73572","-1.31838","12"
"11062616","51.51372","-0.13202","13"
"07904461","51.50399","-0.09684","13"
"08142682","51.57151","0.015","13"
"08142682","51.50988","-0.14458","13"
"03761340","53.27433","-2.76821","7"
"10255214","51.55394","-3.04071","6"
"06927267","51.2837","-0.7548","0"
"03900983","51.46533","-0.23112","13"
"03900983","51.55287","-0.14386","13"
"03900983","51.77216","-3.16497","0"
"10489088","51.52631","-0.07765","13"
"10489088","51.52387","-0.09655","13"
SC440892,"57.15978","-2.25481","2"
FC031294,"51.54234","-0.14776","13"
FC031294,"51.51442","-0.07038","13"
"05857689","53.27433","-2.76821","7"
"05857689","54.55494","-5.94668","1"
"02901671","53.27433","-2.76821","7"
"02901671","53.30225","-2.37319","7"
"02901671","51.21624","0.24384","0"
"03925802","51.54386","-2.56321","6"
"03925802","51.43003","-2.86095","6"
"11138872","51.52398","-0.08258","13"
"11703451","51.50969","-0.08855","13"
"11703451","51.516","-0.14405","13"
"08987637","52.48906","-1.89319","9"
"07858061","51.50793","-0.09528","13"
"10317962","52.9519","-1.18381","8"
"07253661","52.97218","-1.15695","8"
"07253661","52.83685","-1.10779","8"
"12027814","51.36983","-0.36546","13"
"12027814","51.38061","-0.3751","13"
"06339353","53.32822","-2.22887","7"
"06339353","51.28279","-2.11098","0"
"08536866","52.05731","0.23766","10"
"10907810","53.4806","-2.24293","7"
"10907810","54.00454","-1.38722","0"
"10907810","51.54924","-2.55526","6"
"10907810","52.62051","-1.64418","9"
"10907810","51.50841","-0.10693","13"
"11154487","51.11288","-0.18745","0"
"11154487","51.51528","-0.08409","13"
"11154487","50.82214","-1.16364","0"
"11154487","50.84075","-1.08276","0"
"11154487","53.48035","-2.2409","7"
"02458109","53.7777","-2.81513","7"
"02458109","54.52042","-3.54996","0"
"02458109","51.69312","-2.49334","6"
"10909968","53.4806","-2.24293","7"
"10909968","54.00454","-1.38722","0"
"10909968","51.54924","-2.55526","6"
"10909968","52.62051","-1.64418","9"
"10909968","51.50841","-0.10693","13"
"11369893","54.57585","-1.24494","5"
"11369893","52.41586","-1.77747","9"
SC263298,"55.94584","-3.20124","3"
SC263298,"53.3816","-2.60008","7"
SC328796,"55.85142","-4.2839","4"
SC328796,"56.03385","-4.54616","0"
SC328796,"56.73435","-2.52014","0"
"10798872","51.58662","-2.58115","6"
"10798872","51.50087","-2.47757","6"
"06635851","51.49248","-3.55066","0"
"06635851","51.50638","-3.57583","0"
"06635851","51.49185","-3.55174","0"
"10959095","51.57946","-1.30808","12"
"07597351","51.50144","-0.08014","13"
"07993907","50.45","-4.46513","0"
"07336550","50.88267","-2.83952","0"
SC624904,"55.86837","-4.27362","4"
SC624904,"53.7735","-2.72211","7"
"06492907","54.66213","-2.74868","0"
"06492907","53.32552","-2.23605","7"
"04823156","51.51109","-0.08818","13"
"04823156","51.51594","-0.13171","13"
"04823156","53.39869","-1.43227","8"
SC450178,"55.95996","-3.20108","3"
SC450178,"51.45523","-2.59697","6"
SC450178,"51.51771","-0.12324","13"
SC450178,"55.86226","-4.26095","4"
"08970458","52.6487","1.44191","0"
"03702545","51.51477","-0.07701","13"
