Companynumber,Latitude,Longitude,cluster
"11938544","53.48015","-2.23972","18"
"07360585","51.50354","-0.11046","11"
"01250443","51.40796","-0.68865","0"
"01250443","52.83508","-1.27772","14"
"01250443","52.21214","0.11383","0"
"01250443","55.85799","-3.19376","3"
"01250443","53.29899","-2.91582","17"
"01250443","53.59801","-2.29436","18"
"11000495","51.53962","-2.59699","7"
"11000495","50.90994","-1.40866","8"
"11000495","51.44793","-2.59657","7"
"11000495","52.46524","-1.19539","14"
"11000495","51.02585","-3.12392","0"
"11000495","50.38468","-4.02345","0"
"11000495","52.31956","-0.96316","0"
"11000495","53.79361","-1.55778","16"
"11000495","55.8631","-4.25507","2"
"11000495","51.4796","-3.17748","6"
"11000495","53.03128","-2.19987","0"
"11000495","53.37459","-2.34146","18"
"11000495","52.48276","-1.90013","13"
"11000495","51.87877","-2.19647","0"
"11000495","53.48011","-2.24449","18"
"11000495","50.41008","-4.02473","0"
"11000495","55.95345","-3.19428","3"
"11000495","51.50052","-0.08059","11"
"11000495","54.97132","-1.59749","5"
"07068933","52.10118","-2.32426","0"
"07068933","51.44333","-2.5679","7"
"10766952","50.83588","-0.17058","0"
"10766952","51.51153","-0.08663","11"
"10766952","50.83723","-0.17555","0"
NI660793,"54.5925","-5.94048","1"
NI660793,"51.49669","-0.13649","11"
"06983493","51.45898","-0.97554","10"
"06983493","51.49669","-0.13649","11"
"01959735","51.510980000000004","-0.12191","11"
"01959735","53.40463","-2.29752","18"
"11371466","51.510980000000004","-0.12191","11"
"11371466","53.40463","-2.29752","18"
FC031294,"51.54234","-0.14776","11"
FC031294,"51.51442","-0.07038","11"
"11371687","51.510980000000004","-0.12191","11"
"11371687","53.40463","-2.29752","18"
"11371687","51.49806","-0.14505","11"
"11371687","54.04474","-2.7973","0"
"08991238","51.50912","-0.4359","11"
"08991238","51.49669","-0.13649","11"
"10055041","51.45536","-2.57572","7"
"08536866","52.05731","0.23766","0"
"05742022","51.44977","-2.59548","7"
"05742022","51.50087","-2.47757","7"
"11499412","51.56904","0.45884","0"
"11499412","52.23226","0.14456","0"
"10959095","51.57946","-1.30808","9"
"03563622","51.29354","-0.75847","10"
"03563622","51.50922","-0.08546","11"
"03563622","55.86653","-4.27356","2"
"03563622","51.48532","-3.17359","6"
"03563622","51.08895","0.68984","0"
"10673098","51.52771","-3.08317","6"
"07661816","51.46991","-0.14995","11"
"02785760","52.60551","-1.23295","14"
"09018507","52.19685","0.12923","0"
"04382724","51.66489","-0.3877","11"
"04382724","52.19775","-2.22351","0"
"07940175","50.61055","-1.97495","0"
"07940175","52.08421","-0.82008","12"
"07940175","51.60647","-1.11323","0"
"07940175","51.51819","-0.13291","11"
"09079342","52.08833","0.01885","0"
"06493909","51.50162","-0.08255","11"
"06493909","51.50639","-0.10679","11"
"11515358","53.31234","-2.35009","18"
"11515358","51.87442","-0.72826","0"
"09783489","51.37268","-0.47478","11"
"07509746","51.50255","-0.19577","11"
"07991280","51.23451","-0.57789","0"
"07991280","51.5003","-0.1073","11"
"07991280","53.81728","-1.66496","16"
"07991280","53.47559","-2.2414","18"
"07991280","54.59679","-5.93935","1"
"07991280","53.26363","-1.43755","15"
"07991280","53.42801","-2.74121","0"
"07991280","51.91645","0.9254","0"
"07991280","51.23647","-0.56826","0"
"07991280","51.50117","-0.09888","11"
"11042276","51.37268","-0.47478","11"
"07339803","54.52042","-3.54996","0"
"07339803","53.7603","-2.72707","0"
"07339803","54.47726","-3.52508","0"
"03760042","51.51252","-0.08713","11"
"09829727","52.23104","0.14547","0"
"08484947","51.52502","-3.2448","6"
"08484947","51.50604","-3.18534","6"
"04556533","53.3954","-2.2051","18"
"04556533","100","0","0"
"04556533","51.52382","-0.11029","11"
"08774096","51.5229","-0.13737","11"
"08774096","52.13268","0.20544","0"
"08329309","51.4804","-0.11023","11"
"10451879","50.94928","0.25039","0"
"10451879","51.51126","-0.12695","11"
"10052851","51.27387","0.52706","0"
"10052851","52.48152","-1.90541","13"
"10052851","51.27305","0.39611","0"
"03252148","53.40935","-2.99282","17"
"03252148","51.50927","-0.13717","11"
"03252148","53.40935","-2.99282","17"
"03252148","53.27755","-2.23007","18"
FC036915,"51.516","-0.14405","11"
FC036915,"51.51404","-0.15554","11"
FC036915,"51.51653","-0.13528","11"
"09144647","52.13732","0.20368","0"
"09144647","52.11657","0.22007","0"
"04255059","53.47727","-2.2461","18"
"04255059","51.4527","-2.58971","7"
"04255059","51.51172","-0.08476","11"
"06768468","52.06824","-0.82321","12"
"06768468","51.51621","-0.11192","11"
"06633348","51.51878","-0.11378","11"
"06633348","51.75958","-0.56386","0"
"12302240","51.76345","-0.43327","11"
"12302240","51.6096","-1.25266","9"
"09365292","51.51981","-0.07734","11"
"09365292","51.81524","-0.35473","11"
"08639168","51.6439","0.05249","11"
"08639168","51.87003","0.16273","0"
"02451177","52.17446","0.13514","0"
"12007779","51.65641","0.0673","11"
"12007779","51.4776","-0.86992","10"
"10521347","52.71488","-2.75248","0"
"10521347","51.50522","-0.0898","11"
"10521347","53.58219","-2.44294","18"
"07993440","51.51611","-0.10898","11"
"07993440","51.50738","-0.10683","11"
"03597942","51.29864","-0.82473","0"
"07559265","51.40217","-0.16584","11"
"05823830","53.50268","-1.47314","15"
"12686337","51.52178","-0.13782","11"
"04585332","51.43858","-0.8924","10"
"13119746","51.62123","-1.29397","9"
"06456207","51.62123","-1.29397","9"
"05386932","52.32238","-0.0703","0"
"07450294","51.50522","-0.0898","11"
"07450294","53.58219","-2.44294","18"
"11294189","51.51179","-0.10191","11"
"06235381","51.51672","-0.10695","11"
"06235381","51.52422","-0.10535","11"
"06735175","53.79295","-1.54434","16"
"04364671","53.38875","-1.37152","15"
"08806054","51.48022","-0.19777","11"
"08806054","51.37974","-0.28177","11"
"03159421","53.32942","-2.22689","18"
"03159421","53.43913","-2.21874","18"
"05504888","51.91392","-0.20718","0"
"05504888","51.97585","-0.22985","0"
"10991975","51.45787","-2.59481","7"
"10991975","50.72385","-3.5268","4"
"10991975","51.45381","-2.59437","7"
"06824088","53.4802","-2.23222","18"
"06824088","55.85854","-4.25019","2"
"06824088","53.79269","-1.5529","16"
"06824088","51.50199","-0.06997","11"
"07672129","54.97297","-1.6083","5"
"07519886","53.479","-2.23862","18"
"07519886","53.48072","-2.24441","18"
"11563620","53.46223","-2.22848","18"
"08881891","54.5841","-1.1144","5"
"03475049","51.65323","-0.19899","11"
"03475049","51.58021","-0.33953","11"
"06277352","51.51282","-0.08621","11"
"12633286","51.51758","-0.13666","11"
"07249917","51.51935","-0.10693","11"
"11951667","53.38416","-2.35191","18"
"11951667","51.28775","1.34435","0"
"04287879","51.52106","-0.08006","11"
"05946805","51.26805","-1.07419","0"
"05946805","51.34806","0.25418","0"
"05946805","51.50087","-2.47757","7"
"05946805","50.74431","-1.9505","0"
"08606475","51.98143","-0.21835","0"
"02121927","52.06982","-0.6308","12"
"02121927","51.60844","-1.63367","0"
"02121927","51.65789","-1.58143","0"
"02263454","52.06982","-0.6308","12"
"02263454","51.60844","-1.63367","0"
"07224333","53.61972","-2.42987","18"
"07224333","53.57745","-2.4395","18"
"07224333","51.52983","-0.12006","11"
"07224333","53.16055","-3.14806","0"
"07224333","53.35389","-2.8704","17"
"10161841","51.52106","-0.08006","11"
"11456306","51.48255","-3.19055","6"
"11456306","51.49344","-0.21797","11"
"11754161","51.51328","-0.07593","11"
"08325675","51.50425","-2.53868","7"
"09041587","51.45733","-0.97602","10"
"08980289","53.36405","-2.2397","18"
"08980289","53.45736","-2.35657","18"
"08980289","51.46978","-0.44958","11"
"08980289","53.31242","-2.35852","18"
"08980289","53.36644","-2.27058","18"
"08980289","51.5677","0.6991","0"
"08219473","51.72901","-1.20688","9"
"02875523","52.64083","-2.43156","0"
"02875523","55.51724","-4.60911","0"
"03473626","51.51743","-0.12436","11"
"03473626","50.83353","-0.13452","0"
"03473626","51.28507","-0.76299","10"
"03473626","55.84366","-3.22054","3"
"09077671","51.5189","-0.15637","11"
"09077671","51.51297","-0.08661","11"
"09953328","53.41757","-2.23174","18"
"09953328","53.4842","-2.22855","18"
"10613579","51.51554","-0.10841","11"
SC177939,"57.50725","-4.45324","0"
SC177939,"54.52162","-1.50199","5"
SC177939,"51.27687","-1.07094","0"
SC177939,"56.04207","-3.3565","3"
SC177939,"51.26291","-1.11307","0"
SC177939,"53.74199","-1.64846","16"
SC177939,"55.97434","-3.96685","2"
SC177939,"53.78598","-1.53751","16"
SC177939,"52.93706","-1.16091","14"
SC177939,"53.75224","-1.62905","16"
SC177939,"51.44656","-2.57403","7"
SC177939,"51.29417","-2.50135","7"
SC177939,"56.18703","-3.19051","3"
SC177939,"53.67741","-1.6217","16"
SC177939,"51.47114","0.26826","11"
SC177939,"57.48147","-4.1832","0"
SC177939,"53.67585","-1.66714","16"
SC177939,"55.93414","-3.31064","3"
"13449248","51.72901","-1.20688","9"
SC473411,"55.94753","-3.21062","3"
SC473411,"53.45736","-2.35657","18"
SC473411,"51.46978","-0.44958","11"
SC473411,"53.31242","-2.35852","18"
SC473411,"53.36644","-2.27058","18"
SC473411,"51.5677","0.6991","0"
"10906840","54.04474","-2.7973","0"
"10880815","51.51492","-0.0755","11"
"11456899","52.68186","-1.08785","14"
"11456899","52.53746","-1.40266","0"
SC181373,"57.50725","-4.45324","0"
SC181373,"54.52162","-1.50199","5"
SC181373,"51.27687","-1.07094","0"
SC181373,"56.04207","-3.3565","3"
SC181373,"51.26291","-1.11307","0"
SC181373,"53.74199","-1.64846","16"
SC181373,"55.97434","-3.96685","2"
SC181373,"53.78598","-1.53751","16"
SC181373,"52.93706","-1.16091","14"
SC181373,"53.75224","-1.62905","16"
SC181373,"51.44656","-2.57403","7"
SC181373,"51.29417","-2.50135","7"
SC181373,"56.18703","-3.19051","3"
SC181373,"53.67741","-1.6217","16"
SC181373,"51.47114","0.26826","11"
SC181373,"57.48147","-4.1832","0"
SC181373,"53.67585","-1.66714","16"
"03548215","52.88706","-2.13973","0"
"03548215","53.40935","-2.99282","17"
"07980921","51.51532","0.42662","0"
"07167377","53.80103","-1.55623","16"
"07167377","53.84114","-1.60904","16"
"07167377","53.97673","-1.56814","0"
"07167377","53.83931","-1.60796","16"
"07167377","53.48438","-2.25015","18"
NI647110,"54.86842","-6.27817","1"
NI647110,"54.60662","-5.9192","1"
"08476131","51.51876","-0.1393","11"
"08476131","51.51511","-0.09628","11"
"08723625","51.64087","-3.86366","0"
"08723625","51.80051","-4.07315","0"
"06800980","51.53304","-0.09553","11"
"06800980","51.53294","-0.10857","11"
"10887014","51.5259","-0.13394","11"
"12322112","53.0062","-2.16505","0"
"10860605","51.15039","0.87314","0"
"10860605","51.52518","-0.0903","11"
"08854010","54.9323","-2.96551","0"
NI068591,"54.59876","-5.93178","1"
"11696176","51.40842","0.01658","11"
"08215651","53.36693","-0.00684","0"
"10831147","50.72384","-1.8663","0"
"10831147","50.72236","-1.86443","0"
NI015738,"54.64011","-6.29663","1"
