Companynumber,Latitude,Longitude,cluster
OC331235,"51.52072","-0.13583","22"
OC331235,"52.20015","0.12682","15"
OC331235,"51.52355","-0.12581","22"
"11939414","51.49652","-0.14645","21"
"11939414","51.28132","-1.06022","0"
"11939414","51.49678","-0.14349","21"
"11939414","53.47827","-2.24756","6"
"11939414","53.19502","-2.87908","0"
"11939414","53.38038","-1.46278","13"
"11939414","51.53202","-0.8619","0"
"11939414","51.5167","-0.08596","22"
"11939414","51.41556","-0.73969","0"
"11939414","51.51109","-0.09119","22"
"11354629","51.49652","-0.14645","21"
"11354629","51.28132","-1.06022","0"
"11354629","51.49678","-0.14349","21"
"11354629","53.47827","-2.24756","6"
"11354629","53.19502","-2.87908","0"
"11354629","53.38038","-1.46278","13"
"11354629","51.53202","-0.8619","0"
"11354629","51.5167","-0.08596","22"
"11354629","51.41556","-0.73969","0"
"11354629","51.51109","-0.09119","22"
"07466050","51.49652","-0.14645","21"
"07466050","51.28132","-1.06022","0"
"07466050","51.49678","-0.14349","21"
"07466050","53.47827","-2.24756","6"
"07466050","53.19502","-2.87908","0"
"07466050","53.38038","-1.46278","13"
"07466050","51.53202","-0.8619","0"
"07466050","51.5167","-0.08596","22"
"07466050","51.41556","-0.73969","0"
"07466050","51.51109","-0.09119","22"
"03847202","51.49652","-0.14645","21"
"03847202","51.28132","-1.06022","0"
"03847202","51.49678","-0.14349","21"
"03847202","53.47827","-2.24756","6"
"03847202","53.19502","-2.87908","0"
"03847202","53.38038","-1.46278","13"
"03847202","51.53202","-0.8619","0"
"03847202","51.5167","-0.08596","22"
"03847202","51.41556","-0.73969","0"
"03847202","51.51109","-0.09119","22"
"09064488","51.53017","-0.07548","0"
"09064488","51.49423","-0.06147","0"
"05913305","51.51902","-0.05811","0"
"05913305","51.51071","-0.14586","22"
"04965442","51.25067","-0.78465","0"
"04965442","51.80288","-0.22673","0"
"04965442","51.51661","-0.09222","22"
"01250443","51.40796","-0.68865","0"
"01250443","52.83508","-1.27772","14"
"01250443","52.21214","0.11383","15"
"01250443","55.85799","-3.19376","3"
"01250443","53.29899","-2.91582","5"
"01250443","53.59801","-2.29436","6"
SC389144,"55.95333","-3.20874","3"
SC389144,"55.93414","-3.31064","3"
SC389144,"52.00255","-0.79764","17"
"10785799","51.89894","-1.14843","0"
"11882245","52.47251","-1.92262","10"
"00631825","54.9811","-1.56566","4"
"00631825","54.89948","-1.49332","4"
"00631825","54.95313","-1.50677","4"
"00631825","54.97032","-1.5231","4"
"00631825","53.42697","-2.25122","6"
"00631825","53.55409","-0.67958","0"
"09034670","51.13621","0.86059","0"
"09034670","51.57984","-0.33496","0"
"06614239","53.79777","-1.54878","12"
"06614239","51.49552","-0.14602","21"
"06614239","51.51109","-0.09119","22"
"06851390","51.51472","-0.08288","22"
"07569186","53.46868","-2.21736","6"
"04658340","51.45568","-0.96805","19"
"04658340","51.45733","-0.97602","19"
"04658340","50.72017","-3.46474","0"
"11996161","53.80541","-1.55035","12"
"06912622","53.99292","-1.55096","0"
"06912622","53.79904","-1.57064","12"
NI044494,"54.5925","-5.94048","1"
"11052310","51.50494","-0.0195","20"
SC293690,"55.94637","-2.8972","3"
"05708056","52.9521","-1.15533","14"
"05708056","51.39723","0.53939","0"
"07793895","51.51477","-0.07701","22"
"07793895","51.51642","-0.07749","22"
"07793895","51.51694","-0.07793","22"
"09942593","51.49699","-0.18848","0"
"09942593","51.51334","-0.0911","22"
"09942593","51.51794","-0.09015","22"
"08705643","51.53551","-0.10535","0"
"08705643","55.9531","-3.19669","3"
"08705643","52.15016","0.13996","15"
"08705643","53.32468","-2.7329","0"
"10121147","51.45518","-2.58473","8"
"10121147","51.45256","-2.58808","8"
"11160393","51.50087","-2.47757","8"
"10255214","51.55394","-3.04071","7"
"06927267","51.2837","-0.7548","0"
"10489088","51.52631","-0.07765","22"
"10489088","51.52387","-0.09655","22"
FC031294,"51.54234","-0.14776","0"
FC031294,"51.51442","-0.07038","22"
"12390015","51.5149","-0.10254","22"
"10342164","51.51988","-0.07838","22"
"10342164","52.05359","1.14687","0"
"10342164","51.51703","-0.08161","22"
"10342164","52.05895","1.279","0"
"11250772","51.51337","-0.07186","22"
"11339039","50.72285","-1.87118","0"
SC246876,"55.98552","-3.58","3"
SC246876,"51.45984","-0.93954","19"
"05439023","51.52226","-0.11516","22"
"03925802","51.54386","-2.56321","8"
"03925802","51.43003","-2.86095","0"
"11138872","51.52398","-0.08258","22"
"12086431","51.43353","-0.69923","0"
"12086431","51.50189","-3.11416","7"
"12086431","50.8986","-1.44413","0"
"12086431","52.6722","-2.11921","0"
"12086431","50.86681","0.55212","0"
"12086431","52.45727","-2.83421","0"
"12086431","54.48471","-6.7564","0"
"12086431","53.82492","-1.15046","0"
"12086431","53.52711","-2.4165","6"
"12086431","50.96119","-1.42252","0"
"11703451","51.50969","-0.08855","22"
"11703451","51.516","-0.14405","22"
"07608360","51.52562","-0.08363","22"
