Companynumber,Latitude,Longitude,cluster
NI660793,"54.5925","-5.94048","0"
NI660793,"51.49669","-0.13649","2"
"06983493","51.45898","-0.97554","3"
"06983493","51.49669","-0.13649","2"
"08991238","51.50912","-0.4359","2"
"08991238","51.49669","-0.13649","2"
"07237758","54.23295","-1.34064","7"
"07237758","51.49669","-0.13649","2"
"07237758","53.60796","-0.67441","4"
"08550019","53.08923","-1.27273","4"
"08550019","51.66133","-0.3967","2"
"08550019","51.51719","-0.0985","2"
"08550019","51.40711","0.11585","0"
"05153745","51.45758","-0.9702","3"
"12780803","52.19411","0.1363","0"
"12780803","52.23228","0.15117","0"
"12780803","54.60662","-5.9192","0"
"08706503","51.46238","-0.92445","3"
"08706503","51.45818","-0.97704","3"
"08706503","51.46151","-1.00037","3"
"11341216","51.51935","-0.08963","2"
"11341216","53.84859","-1.74834","7"
"08556605","51.52505","-0.11704","2"
"09892623","51.42517","-0.98795","3"
"07046599","51.42517","-0.98795","3"
SC147188,"55.86126","-4.2565","8"
SC147188,"51.45463","-0.89339","3"
"10888253","51.86733","-2.33015","5"
"10888253","50.8778","-1.25191","1"
SC514806,"55.84412","-4.42263","8"
SC514806,"51.8549","1.05219","0"
"08842586","50.88674","-1.04394","1"
"04380546","53.43034","-2.11553","6"
"04380546","51.89759","-2.08248","5"
SC487101,"55.86186","-4.2579","8"
SC487101,"55.84412","-4.42263","8"
SC487101,"51.8549","1.05219","0"
"09589032","55.01003","-1.62214","7"
"09589032","54.95399","-1.50543","7"
"09714903","53.38416","-2.35191","6"
"09714903","51.50349","-0.11564","2"
"00282704","51.51826","-0.48007","2"
"00282704","53.32125","-0.94089","4"
"00282704","52.43698","-1.88082","5"
"00282704","52.66772","-1.14716","4"
"00282704","54.8218","-1.45257","7"
"00282704","54.4036","-1.73812","0"
"00282704","55.007","-1.60431","7"
"00282704","52.48232","-1.89869","5"
"00282704","54.98616","-1.66318","7"
"00282704","51.59129","-2.7513","0"
"00282704","52.39681","-1.81181","5"
"00282704","53.75782","-0.27297","4"
"00282704","51.54478","0.64174","0"
"00282704","54.8759","-3.04743","0"
"00282704","54.92998","-1.37979","7"
"00282704","53.73129","-0.39118000000000003","4"
"00282704","53.52345","-1.1343","4"
"00282704","51.90152","-4.42563","0"
"00282704","50.43315","-4.24423","0"
"00282704","53.79436","-1.59812","0"
"00282704","53.40058","-3.03551","6"
"00282704","53.78906","-1.43076","4"
"03841133","51.35774","-2.90599","0"
"03841133","51.4796","-3.15375","0"
"03841133","51.51143","-0.07914","2"
"06070361","52.20372","-1.72864","5"
"06070361","51.77128","-0.93757","0"
"06070361","53.59356","-2.26567","6"
"06070361","51.6146","-1.64483","0"
"06070361","51.30303","0.49266","0"
"05320461","51.29929","-1.0622","3"
"05320461","51.26949","-1.07495","0"
"10322838","50.8235","-0.13957","0"
SC345442,"55.88827","-4.1859","8"
"06936153","53.08923","-1.27273","4"
"06936153","52.98196","-1.17979","0"
"03120336","52.20372","-1.72864","5"
"03120336","51.77128","-0.93757","0"
"03120336","53.59356","-2.26567","6"
"03120336","51.6146","-1.64483","0"
"03120336","51.30303","0.49266","0"
"06417349","51.07085","-0.31554","0"
"03049312","51.32076","1.03072","0"
"03049312","51.50732","-0.07371","2"
"09182069","53.03481","-2.94185","6"
"12374045","51.18472","-0.64826","0"
"12374045","55.85965","-4.359","8"
"11795646","52.02565","-0.77166","0"
"11795646","51.51477","-0.0721","2"
"04544886","51.5292","-0.25999","2"
"04544886","51.6515","-3.91418","0"
"04544886","51.47557","-0.42333","2"
"04544886","53.39795","-2.25779","6"
"04544886","51.4757","-0.4229","2"
"04544886","51.53733","-3.26295","0"
"11450722","51.50429","-0.07964","2"
"11450722","51.5227","-0.0831","2"
"03477297","51.4582","-0.96767","3"
"03477297","50.84319","-0.99316","1"
"03477297","51.43288","-0.54477","2"
"03914233","53.18142","-2.92371","6"
"03914233","53.48078","-2.24372","6"
"03914233","52.20463","-1.72807","5"
"03914233","55.85867","-4.25189","8"
SC394757,"55.85965","-4.359","8"
SC394757,"51.18472","-0.64826","0"
SC394757,"57.1435","-2.11755","0"
"09439890","51.51414","-0.2271","2"
"08689426","53.33204","-2.64215","6"
"08689426","51.5227","-0.0831","2"
"10090890","51.51911","-0.1817","2"
"10090890","54.90415","-1.37735","7"
"05846504","51.5292","-0.25999","2"
"05846504","51.6515","-3.91418","0"
"05846504","51.47557","-0.42333","2"
"05846504","53.39795","-2.25779","6"
"10554399","51.67255","-1.26032","0"
"10554399","51.58152","-1.31","0"
"04269408","51.51983","-0.63165","2"
"10660712","51.5106","-0.08698","2"
"10660712","51.51743","-0.12436","2"
"08043329","50.88622","-1.04314","1"
"08043329","51.51878","-0.08903","2"
"08043329","51.51719","-0.10288","2"
"12534512","51.51414","-0.2271","2"
"02827242","51.56344","-0.30045","2"
"02827242","51.50321","-0.09553","2"
"09441521","52.21485","-2.7322","0"
"10043949","50.96179","-1.43039","1"
"04220936","51.31311","-0.88497","3"
"04220936","51.51858","-0.07825","2"
"05823408","51.51418","-0.09358","2"
"05823408","53.72395","-0.40985","4"
"05823408","53.46353","-2.23677","6"
"05823408","53.76739","-0.3414","4"
"11315505","51.55016","-0.48092","2"
"11315505","50.83169","-0.78379","0"
"11168423","51.51109","-0.08818","2"
"11168423","50.82234","0.27136","0"
"02142875","52.37404","-1.79646","5"
"02142875","51.52457","-0.11202","2"
"02142875","51.52163","-0.11224","2"
"02142875","52.25833","-0.94437","0"
"02142875","51.38847","0.10851","0"
"02142875","51.23517","-0.33946","0"
"02142875","51.63333","0.00866","2"
"02142875","53.49105","-1.01275","0"
"02142875","51.27904","-0.84696","0"
"02142875","51.13226","0.25463","0"
"02142875","52.20801","-0.28881","0"
"03495178","51.28266","-1.06269","0"
"03495178","53.03481","-2.94185","6"
"11322699","51.51299","-0.07778","2"
"11322699","51.51315","-0.07756","2"
"11250826","51.52538","-0.12824","2"
"11250826","53.16508","-2.21141","6"
"10402747","51.57347","-0.76144","0"
NI053702,"54.59014","-5.92651","0"
NI053702,"55.83523","-4.03885","8"
"02712443","51.4925","-0.27739","2"
"08705389","51.50922","-0.08546","2"
"03368473","53.69801","-2.83871","6"
"03368473","53.67273","-2.66652","6"
"03368473","53.65057","-2.65568","6"
"11825732","51.50758","-0.10774","2"
"12644243","51.52059","-0.12221","2"
"12644243","51.52013","-0.10985","2"
"12644243","52.23424","0.1398","0"
"12644243","51.70778","0.50239","0"
"07490613","51.27955","0.39751","0"
"03919664","52.37404","-1.79646","5"
"03919664","51.75012","-0.28025","0"
"03919664","52.95549","-1.15541","0"
"03919664","52.5642","1.1173","0"
"03919664","51.54459","-3.26579","0"
SC391588,"55.57864","-2.65756","8"
SC391588,"55.95155","-3.2027","8"
SC391588,"55.90812","-3.25796","8"
"10086511","53.4668","-2.27967","6"
"10086511","51.4503","-2.58429","0"
"05456590","51.51448","-0.1502","2"
"10057745","51.52184","-0.085","2"
"10057745","51.51491","-0.14257","2"
"10068882","53.4806","-2.24293","6"
"10068882","52.21737","-0.85944","0"
"10068882","55.88016","-3.52488","8"
"10068882","52.21734","-0.87777","0"
"12924679","51.52184","-0.085","2"
"12924679","51.51491","-0.14257","2"
"07319727","52.32906","-0.05773","0"
"07319727","50.8792","0.60345","0"
"07319727","50.87367","0.52705","0"
"08187280","51.50087","-2.47757","0"
"07722775","51.35177","-0.46525","2"
"12040248","51.51754","-0.10827","2"
"12040248","51.52092","-0.16029","2"
"06019292","51.54192","-0.35968","2"
"06019292","51.50881","-0.307","2"
"06019292","51.54752","-0.02226","2"
"06019292","51.51404","-0.13508","2"
"06019292","53.47286","-2.29968","6"
"06019292","53.47254","-2.2977","6"
"06019292","51.51283","-0.3098","2"
"11486930","51.51754","-0.10827","2"
"11486930","51.52092","-0.16029","2"
"09314699","51.51971","-0.11634","2"
"09314699","51.40918","-0.30453","2"
"09314699","55.76645","-4.22746","8"
"12820369","52.0365","-0.67985","0"
"12820369","53.47286","-2.29968","6"
"10556810","53.00456","-2.26939","0"
"10556810","51.50611","-0.13612","2"
"09867219","51.90836","-0.2197","0"
"09867219","51.5189","-0.07838","2"
"05262497","51.58766","0.5194","0"
"06773747","51.42574","-0.33567","2"
"06773747","51.51629","-0.14068","2"
"06773747","51.51501","-0.136","2"
"11871341","51.51506","-0.13453","2"
"11871341","51.40918","-0.30453","2"
"11871341","55.76645","-4.22746","8"
"02704890","51.44951","-0.32974","2"
FC035351,"100","0","0"
FC035351,"51.13527","-0.03558","0"
FC035351,"51.51949","-0.10535","2"
FC035351,"51.42517","-0.98795","3"
"05495766","52.01218","-0.72442","0"
"05495766","51.27691","-2.19958","0"
"12157320","53.38038","-1.46278","4"
"05451574","55.39769","-1.69204","0"
"11816413","51.52015","-0.18169","2"
"11816413","51.49236","-0.23879","2"
"10586466","50.45546","-4.46826","0"
"10586466","50.24602","-5.22389","0"
"04356414","51.26066","1.13903","0"
"10103770","51.5273","-0.08889","2"
"10103770","51.49423","-0.06147","2"
"09090308","51.43535","-0.50505","2"
"09721770","52.06776","-0.63279","0"
"05940742","51.51977","-0.10534","2"
"05940742","51.13527","-0.03558","0"
"05940742","51.51949","-0.10535","2"
"05267904","53.58497","-2.71723","6"
"05267904","53.39508","-3.03408","6"
"05267904","53.58434","-2.7162","6"
"06258070","50.9107","-2.19663","0"
