Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
03847202,REPLY LIMITED,3445,575422417,0.6435,0.68,0.607,Large,09/23/1999 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",215758,0.21,2021-03-01,0
11939414,AWC PARTNERS REPLY LIMITED,55,21597815,0.45799999999999996,0.103,0.813,Medium,04/11/2019 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
11354629,ARLANIS REPLY LIMITED,78,7508607,0.5645,0.541,0.588,Medium,05/10/2018 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
07466050,WM REPLY LIMITED,163,34096461,0.2125,0.181,0.244,Medium,12/10/2010 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
05913305,EUROCONSULT INTERNATIONAL MERGERS & ACQUISITIONS LIMITED,24,1773966,0.241,0.241,,Small,08/22/2006 00:00:00,"Euroconsult international mergers & acquisitions (ec m&a) is an independent, globally active, investment banking firm specializing in mergers, acquisitions, company sales and corporate divestitures.",ec-ma.com,E1W 9US,"Electronics Manufacturing, Life Sciences, CleanTech, Pharma, Sensors","Electronics Manufacturing: Measuring and metrology devices, Life Sciences: Life Sciences Manufacturing, CleanTech: Environmental Protection and Monitoring, Pharma: Automation, Sensors: Industry 4.0",,0,,0
07828647,VITAL ENERGI SOLUTIONS LIMITED,67,122439588,0.2195,0.195,0.244,Large,10/31/2011 00:00:00,"Vital energi provides low carbon energy generation, energy distribution & energy management solutions across sectors. heat networks, heat pumps, solar, and battery storage energy services.",vitalenergi.co.uk,BB1 2LD,"Net Zero, Energy Management, Electronics Manufacturing, Energy Generation","Net Zero: Low Carbon Energy Generation, Net Zero: Renewable Energy Planning Database, Energy Management: Smart Grid, Energy Management: Smart Meter, Energy Management: Energy Management Systems, Electronics Manufacturing: Energy generation or distribution tech, Energy Generation: Fossil Fuels",106955,0,,0
00631825,SIEMENS ENERGY LIMITED,2022,695125431,0.26949999999999996,0.36,0.179,Large,07/03/1959 00:00:00,"We energize society. siemens energy is committed to make sustainable, reliable, and affordable energy possible, with innovative technologies and clear focus on our customers’ needs.",siemens-energy.com,NE6 2YL,"Net Zero, Energy Management, Electronics Manufacturing, Energy Generation, Energy Storage, CleanTech","Net Zero: Energy Storage, Net Zero: Grid, Net Zero: Low Carbon Energy Generation, Net Zero: Renewable Energy Planning Database, Net Zero: Renewables, Energy Management: Energy Management Systems, Electronics Manufacturing: Electromedical technologies, Energy Generation: Fossil Fuels, Energy Generation: Hydrogen, Energy Generation: Hydropower, Energy Storage: Hydrogen, CleanTech: Energy Production, Management and Storage",473077.84,0,,0
11996161,SLINGSHOT SIMULATIONS LTD,23,1625280,0.235,0.235,,Small,05/15/2019 00:00:00,A place-based digital twin-as-a-service for rapid intervention assessment that delivers better insight up to 80% faster and at lower cost.,www.slingshotsimulations.com,LS2 3AA,"Geospatial Economy, Artificial Intelligence, Advanced Manufacturing","Geospatial Economy: Data Processing and Visualisation, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Digital Twins",144934,0,,0
05439023,SAGGEZZA LIMITED,160,11037992,0.17500000000000002,0.276,0.074,Medium,04/28/2005 00:00:00,Apexon consists of several entities through acquisition and merger.,apexon.com,WC1N 2EB,"Software as a Service (SaaS), Cloud Computing, Supply Chain Logistics, Software Development, Artificial Intelligence, Advanced Manufacturing, MedTech, Pharma, Data Infrastructure","Software as a Service (SaaS): Development, Cloud Computing: SaaS (Software as a Service), Supply Chain Logistics: Automation, Software Development: DevOps, Artificial Intelligence: Data Analysis, Advanced Manufacturing: Data Services, Advanced Manufacturing: Industrial IoT, MedTech: Monitoring Technologies, Pharma: Artificial Intelligence and Blockchain, Data Infrastructure: Data Infrastructure Services",,0,,0
10255214,COMPOUND SEMICONDUCTOR APPLICATIONS CATAPULT LIMITED,124,22827349,0.3805,0.242,0.519,Medium,06/28/2016 00:00:00,"Since 2018, the catapult has built a team of nearly 100 talented employees, developed a state-of-the-art innovation centre and initiated over £100m in projects. take a look at the impact we've made.",csa.catapult.org.uk,NP10 8BE,"Space Energy, Electronics Manufacturing, Computer Hardware, Photonics, Quantum Economy","Space Energy: Power Core, Electronics Manufacturing: Communications, Computer Hardware: Tools, Photonics: Telecommunications, Photonics: Optics, Photonics: Microelectronics, Photonics: Quantum Tech, Quantum Economy: Components and Materials, Quantum Economy: Photonics",63404126,0,,0
