Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
04658340,RMSI LIMITED,112,7998798,0.3185,0.454,0.183,Medium,02/06/2003 00:00:00,"Rmsi is a global gis consulting company providing geospatial technology solutions, modeling & analytics, and it consultancy services including gis data, gis software, gis mapping services and more",rmsi.com,RG1 3EU,"Data Infrastructure, Space Economy, AgriTech, Geospatial Economy","Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Space Economy: Mapping, AgriTech: Management Platforms, Geospatial Economy: Data Capture, Geospatial Economy: Data Processing and Visualisation, Geospatial Economy: Geospatial and GIS Technologies",,0,,0
12086431,MERITAS SCIENTIFIC HOLDINGS LIMITED,784,62535380,0.2095,0.131,0.288,Large,07/05/2019 00:00:00,Cawood scientific is the uk's largest independent provider of analytical testing and sampling services for the land-based industries.,cawood.co.uk,RG42 6NS,"Life Sciences, Food Tech, AgriTech","Life Sciences: Environmental Sciences Products and Services, Food Tech: Agri Tech, AgriTech: AgSciences",,0,,0
04952566,BUTTERFLY PROJECTS LTD,40,1906605,0.385,0.385,,Small,11/04/2003 00:00:00,"Experienced technology consultants specialising in data science and data management, helping organisations achieve data-driven results through digital transformation using cloud services.",butterflydata.co.uk,CF5 5TD,"Data Infrastructure, Data Intermediaries, Artificial Intelligence, AgriTech","Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Data Infrastructure: Data Storage, Data Infrastructure: Data Centres, Data Intermediaries: Undefined Intermediaries, Data Intermediaries: Data Co-operatives, Artificial Intelligence: Machine Learning, Artificial Intelligence: Data Analysis, AgriTech: Management Platforms",5000,0,,1
09893012,LETTUS GROW LTD,55,10630552,0.341,0.341,,Medium,11/27/2015 00:00:00,"We use aeroponics to design & build sustainable farming systems for vertical farms, indoor farms & greenhouses.",lettusgrow.com,BS4 4EU,"Robotics and Autonomous systems, Food Tech, AgriTech, Net Zero","Robotics and Autonomous systems: Agriculture: Vertical Farming, Food Tech: Agri Tech, AgriTech: Vertical Farming, AgriTech: Management Platforms, AgriTech: Automation, Net Zero: Agritech",1304557.01,5.43,2023-03-01,0
11429051,INNOVATIVE SOLUTIONS FOR DECISION AGRICULTURE LTD,23,2319817,0.264,0.264,,Small,06/22/2018 00:00:00,,isda-africa.com,SL9 7QE,"Food Tech, CleanTech, AgriTech, Net Zero","Food Tech: Agri Tech, CleanTech: Agriculture, Forestry and Biodiversity, AgriTech: Remote Sensing, AgriTech: AgSciences, AgriTech: Automation, Net Zero: Agritech",61627,0,,0
10471166,ATOMIZED STUDIOS LIMITED,78,1258290,0.587,0.587,,Medium,11/09/2016 00:00:00,"Re:tv is a showcase for inspiring innovations and ideas that point the way towards a sustainable future, curated by editor-in-chief, his royal highness the prince of wales.",re-tv.org,W1T 1AL,AgriTech,AgriTech: Remote Sensing,,0,,0
05097143,NEXSTOR LIMITED,40,2815564,0.298,0.298,,Small,04/06/2004 00:00:00,"We help uk businesses to quickly access, implement, monitor and manage a wide range of data platform solutions for independent innovators.",nexstor.com,NG15 7AW,"Cloud Computing, Data Infrastructure, AgriTech","Cloud Computing: SaaS (Software as a Service), Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Storage, AgriTech: Management Platforms",,0,,0
09079342,DOGTOOTH TECHNOLOGIES LIMITED,74,4433421,0.208,0.208,,Medium,06/10/2014 00:00:00,"People are fundamental to the operation of modern soft fruit farms. they are a precious resource, and we value them enormously. the problem is that our customers can't recruit enough people to meet their needs. dogtooth is tackling this problem by building smart autonomous robots intended to make the human workforce more productive.",dogtooth.tech,SG8 6ED,"Robotics and Autonomous systems, Research and Consulting - Physical Sciences and Engineering, AgriTech","Robotics and Autonomous systems: Manufacturing, Robotics and Autonomous systems: Agriculture : Weeding Seeding and Harvesting, Research and Consulting - Physical Sciences and Engineering: Engineering Research, AgriTech: Automation",3439647.87,13.42,2022-11-01,0
11493189,DEEP BRANCH BIOTECHNOLOGY LTD,31,2761897,0.414,0.414,,Small,07/31/2018 00:00:00,"Clean ingredients for climate-friendly food at deep branch, we use clean and renewable carbon and energy sources to create ingredients for a more sustainable food system. our first product is proton™, a single cell protein developed for the animal feed industry. learn more watch video clean ingredients for climate-friendly food at deep branch, we use…",deepbranch.com,EC2A 1AF,"Marine and Maritime, Engineering Biology Application, Life Sciences, CleanTech, AgriTech, Net Zero","Marine and Maritime: Aquaculture, Engineering Biology Application: Agriculture & Food - Foods (such as alternative meat/protein/fat), Life Sciences: Synthetic Biotechnology, CleanTech: Mining, Fuels and Biofuels, CleanTech: Environmental Protection and Monitoring, AgriTech: AgSciences, Net Zero: Carbon Capture",1481121.6199999999,11.37,2021-03-01,0
12780803,KIGEN (UK) LIMITED,183,31726147,0.5645,0.088,1.041,Medium,07/30/2020 00:00:00,"Kigen provides technologies for enabling mobile communications for your devices. from sim to esim and rsp, discover our products.",kigen.com,CB1 2GE,"Advanced Manufacturing, Data Infrastructure, Telecommunications, Cyber, AgriTech, Internet of Things","Advanced Manufacturing: Industrial IoT, Data Infrastructure: Trusted Execution Environments, Telecommunications: Wireless Connectivity, Telecommunications: Network Providers, Cyber: IoT Security, AgriTech: Remote Sensing, Internet of Things: Connectivity Platforms",,15.79,2023-07-01,0
