Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
03847202,REPLY LIMITED,3445,575422417,0.6435,0.68,0.607,Large,09/23/1999 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",215758,0.21,2021-03-01,0
11939414,AWC PARTNERS REPLY LIMITED,55,21597815,0.45799999999999996,0.103,0.813,Medium,04/11/2019 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
11354629,ARLANIS REPLY LIMITED,78,7508607,0.5645,0.541,0.588,Medium,05/10/2018 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
07466050,WM REPLY LIMITED,163,34096461,0.2125,0.181,0.244,Medium,12/10/2010 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Cyber, Immersive Technologies, Advanced Manufacturing","Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Emerging Markets, Immersive Technologies: Hardware, Advanced Manufacturing: Industrial IoT",,0,,0
11938544,MDPI UK LIMITED,252,0,1.216,1.216,,Large,04/10/2019 00:00:00,"Current oncology, an international, peer-reviewed open access journal.",mdpi.com,M1 4HD,"Media and Publishing, Research and Consulting - Physical Sciences and Engineering","Media and Publishing: Publishing Services, Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research",,0,,0
11882245,CHETU LTD,135,481422,0.632,0.632,,Medium,03/14/2019 00:00:00,Chetu is a us-based software development company providing businesses worldwide with tailored software solutions from industry specialized developers.,chetu.com,B16 8QG,"Supply Chain Logistics, Agency Market, Marine and Maritime, Data Infrastructure","Supply Chain Logistics: Supply Chain Visibility, Agency Market: Digital Transformation, Marine and Maritime: Autonomy & Robotics, Data Infrastructure: Data Infrastructure Software",,0,,0
10785799,LIBRESTREAM TECHNOLOGIES (UK) LTD,37,2550972,0.468,0.468,,Small,05/23/2017 00:00:00,The most comprehensive enterprise augmented reality solution designed for your workforce. experience our industrial ar technology today!,librestream.com,OX26 6QB,Immersive Technologies,"Immersive Technologies: Retail & Fashion, Immersive Technologies: Manufacturing & Engineering, Immersive Technologies: Augmented Reality, Immersive Technologies: Hardware",,0,,0
08705643,KNOWLEDGE TRANSFER NETWORK LIMITED,298,87983435,0.46299999999999997,0.075,0.851,Large,09/25/2013 00:00:00,"Immerseuk is a cross-sector network for businesses, research and educational organisations across the uk that are interested in immersive technologies, including augmented, virtual and mixed realities.",immerseuk.org,N1 0QH,"Immersive Technologies, Digital Creative Industries","Immersive Technologies: Mixed Reality, Immersive Technologies: 360°, Digital Creative Industries: Visual and Performing arts",58722583,0,,0
07608360,ELSEWHEN LTD,33,1535562,0.247,0.247,,Small,04/19/2011 00:00:00,Elsewhen empower leaders to harness a cutting edge approach to design and technology to deliver positive impact for their organisations.,elsewhen.com,EC2A 4NE,Digital Creative Industries,Digital Creative Industries: Design,,0,,0
04394772,QUALITEST GROUP UK LTD,960,86949649,0.47350000000000003,0.51,0.437,Large,03/14/2002 00:00:00,"Qualitest helps companies in their digital transformation journey by leveraging ai, devops and automation. our quality engineering services are designed to accelerate and enhance speed, quality, security and customers’ digital experience.",qualitestgroup.com,EC4R 9AF,"Software Development, Agency Market, MedTech","Software Development: DevOps, Software Development: Security Engineering, Agency Market: Customer Relationship Management, MedTech: Artificial Intelligence, MedTech: Monitoring Technologies, MedTech: Robotics",,0,2016-11-01,0
