Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
OC331235,IQ CAPITAL PARTNERS LLP,34,0,0.421,0.421,,Small,09/10/2007 00:00:00,Iq capital provides investment and expert assistance to rapidly scale your ip-rich technology company to exit.,iqcapital.vc,W1T 4HD,,,,0,,0
09064488,ENTREPRENEUR FIRST OPERATIONS LIMITED,121,38227862,0.35650000000000004,0.153,0.56,Large,05/30/2014 00:00:00,We are the best place for the world's most ambitious talent to come together and build game-changing technology startups from scratch.,joinef.com,E2 8JF,FinTech,FinTech: Digital Capital Raising,,0,,1
07793895,CONCIRRUS LTD,163,5060862,0.3215,0.392,0.251,Medium,09/30/2011 00:00:00,Data and analytics platform for commercial insurance. transforming the commercial insurance market with real-time data and analytics.,concirrus.ai,EC3A 7AR,"Marine and Maritime, FinTech","Marine and Maritime: Professional services, FinTech: Insurtech, FinTech: Tech for Enterprise",350013,42.82,2023-03-01,0
12240489,NUCORO HOLDINGS LIMITED,98,2747610,2.156,1.33,2.982,Medium,10/02/2019 00:00:00,The cloud-native savings and investment platform. nucoro is the foundation for building the entire range of digital-first money management solutions at scale. automated investing. goals-based investing. micro-trading. digital wealth management.,nucoro.com,EC3R 7BB,FinTech,"FinTech: Regtech, FinTech: Tech for Enterprise",,0,,0
10561447,JUMIO UK LIMITED,72,19088429,0.208,0.208,,Medium,01/12/2017 00:00:00,"Jumio’s identity verification, ekyc and aml solutions fight fraud and other financial crimes, maintain compliance and onboard good customers faster.",jumio.com,EC2A 2DU,"FinTech, Cyber","FinTech: Digital Identity, FinTech: Regtech, Cyber: Cryptographic Authentication, Cyber: Endpoint Security, Cyber: Identity Management",,0,,0
11976726,TRUST PAYMENTS HOLDINGS LTD,886,378786480,0.8414999999999999,0.35,1.333,Large,05/02/2019 00:00:00,"Trust payments is a global unified payments group for global pay-in, pay-out and customer journey technologies.",www.trustpayments.com,EC3V 3DG,"FinTech, Software as a Service (SaaS)","FinTech: Digital Payments, FinTech: Tech for Enterprise, Software as a Service (SaaS): Finance and Accounting",,0,,0
10473835,VALERANN UK LIMITED,35,1607287,0.471,0.471,,Small,11/10/2016 00:00:00,"Valerann is an innovative, cutting-edge, intelligent transportation systems (its) saas company specialising in ai, big data and data fusion technology.",valerann.com,NW1 8AH,"FinTech, MedTech, Artificial Intelligence","FinTech: Tech for Enterprise, MedTech: Artificial Intelligence, Artificial Intelligence: Signal Processing, Artificial Intelligence: Image Processing",136374.2,0,,0
11097258,ARGO BLOCKCHAIN PLC,46,86082937,0.825,0.529,1.121,Large,12/05/2017 00:00:00,"Argo blockchain (nasd:arbk), is the first climate positive bitcoin mining & blockchain technology company. a pioneer in using renewable power & innovation in blockchain technology",argoblockchain.com,W1W 8DH,Cryptocurrency Economy,"Cryptocurrency Economy: Blockchain, Cryptocurrency Economy: Mining, Cryptocurrency Economy: Investment",,254.95,2024-01-01,0
OC321845,DAWN CAPITAL LLP,43,20950143,0.307,0.307,,Medium,08/22/2006 00:00:00,"We are a family of investors, entrepreneurs, strategists and operational specialists, drawn together by our passion for helping b2b founders build category-defining companies.",dawncapital.com,W1D 4AL,FinTech,"FinTech: Digital Capital Raising, FinTech: Tech for Enterprise",,0,,0
11262659,10X BANKING TECHNOLOGY SERVICES LIMITED,501,107401566,0.542,0.575,0.509,Large,03/19/2018 00:00:00,"Put the world's most powerful and comprehensive cloud native banking platform at the core of your bank. - making banking 10x better june 16, 2021",10xbanking.com,EC1N 2HT,"FinTech, Software as a Service (SaaS)","FinTech: Digital Payments, FinTech: Regtech, FinTech: Tech for Enterprise, FinTech: Digital Banks, Software as a Service (SaaS): Finance and Accounting",,0,,0
