Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
05913305,EUROCONSULT INTERNATIONAL MERGERS & ACQUISITIONS LIMITED,24,1773966,0.241,0.241,,Small,08/22/2006 00:00:00,"Euroconsult international mergers & acquisitions (ec m&a) is an independent, globally active, investment banking firm specializing in mergers, acquisitions, company sales and corporate divestitures.",ec-ma.com,E1W 9US,"Sensors, Life Sciences, Pharma, CleanTech, Electronics Manufacturing","Sensors: Industry 4.0, Life Sciences: Life Sciences Manufacturing, Pharma: Automation, CleanTech: Environmental Protection and Monitoring, Electronics Manufacturing: Measuring and metrology devices",,0,,0
SC389144,PURVIEW CONSULTANCY SERVICES LTD,108,5134489,0.209,0.209,,Medium,11/19/2010 00:00:00,"We are fast-growing, it consulting organization providing end-to-end information technology consultancy services to several global organizations from the domains such as banking & financial services, insurance, healthcare services, media, mobility, telecom, manufacturing, retail, fmcg and utilities.",purviewservices.com,EH3 6AA,"Cloud Computing, Data Infrastructure, Software as a Service (SaaS), MedTech, Artificial Intelligence, EdTech","Cloud Computing: Platform as a Service (PaaS) & Platform Management, Cloud Computing: SaaS (Software as a Service), Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Software as a Service (SaaS): Analytics, Software as a Service (SaaS): Development, MedTech: Monitoring Technologies, Artificial Intelligence: Data Analysis, EdTech: Artificial Intelligence",,0,,0
09093331,OXFORD SCIENCE ENTERPRISES PLC,73,407272500,1.526,0.164,2.888,Large,06/19/2014 00:00:00,,oxfordscienceenterprises.com,OX2 6HT,Life Sciences,"Life Sciences: Research, Life Sciences: Synthetic Biotechnology",,0,,0
07068933,SOL ENVIRONMENT LIMITED,20,1484515,0.232,0.232,,Small,11/06/2009 00:00:00,Sol environment is an independent environmental consultancy that provides comprehensive and pragmatic sustainability advice across a broad spectrum of service areas. we specialise in renewable & low carbon technologies and environmental compliance,sol-environment.co.uk,WR14 3HT,"ESG, Life Sciences, Net Zero","ESG: ESG Consultants, Life Sciences: Environmental Sciences Products and Services, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services, Net Zero: Renewable Energy Planning Database",31098,0,,0
06912622,C-CAPTURE LIMITED,48,3334785,0.267,0.267,,Small,05/21/2009 00:00:00,"C-capture designs world-leading chemical processes for the capture of carbon dioxide and has patented a unique, solvent-based technology which offers a safe, low-cost way to remove carbon dioxide from emissions.",c-capture.co.uk,HG1 2PW,"Life Sciences, CleanTech, Net Zero, Energy Generation","Life Sciences: Chemical Products and Services, CleanTech: Mining, Fuels and Biofuels, CleanTech: Environmental Protection and Monitoring, Net Zero: Low Carbon Energy Generation, Net Zero: Carbon Capture, Energy Generation: Bioenergy",163538,20.93,2023-09-01,0
05439023,SAGGEZZA LIMITED,160,11037992,0.17500000000000002,0.276,0.074,Medium,04/28/2005 00:00:00,Apexon consists of several entities through acquisition and merger.,apexon.com,WC1N 2EB,"Cloud Computing, Software Development, Supply Chain Logistics, Advanced Manufacturing, Data Infrastructure, Software as a Service (SaaS), Pharma, MedTech, Artificial Intelligence","Cloud Computing: SaaS (Software as a Service), Software Development: DevOps, Supply Chain Logistics: Automation, Advanced Manufacturing: Data Services, Advanced Manufacturing: Industrial IoT, Data Infrastructure: Data Infrastructure Services, Software as a Service (SaaS): Development, Pharma: Artificial Intelligence and Blockchain, MedTech: Monitoring Technologies, Artificial Intelligence: Data Analysis",,0,,0
05857689,RSK (IRELAND) LIMITED,29,6689642,0.2355,0.208,0.263,Small,06/26/2006 00:00:00,"Rsk has grown into a leading integrated environmental, engineering and technical services business, providing end-to-end services.",rskgroup.com,WA6 0AR,"Life Sciences, Net Zero","Life Sciences: Environmental Sciences Products and Services, Net Zero: Heating, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services",,0,,0
02901671,RSK PROJECT SERVICES LIMITED,72,11847492,1.3410000000000002,1.618,1.064,Medium,02/23/1994 00:00:00,"Rsk has grown into a leading integrated environmental, engineering and technical services business, providing end-to-end services.",rskgroup.com,WA6 0AR,"Life Sciences, Net Zero","Life Sciences: Environmental Sciences Products and Services, Net Zero: Heating, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services",,0,,0
06927267,MATERION UK LIMITED,90,1833159,0.762,0.762,,Medium,06/08/2009 00:00:00,"A global supplier of specialty materials including alloys, beryllium products, composite / clad metals, thin film deposition materials, precision optics",materion.com,GU14 6XE,"Space Energy, In-Orbit Servicing and Manufacturing, Space Economy, Advanced Materials, Computer Hardware, Quantum Economy, MedTech, Electronics Manufacturing","Space Energy: Power Core, In-Orbit Servicing and Manufacturing: Space Manufacturing, Space Economy: Materials, Advanced Materials: Metals, Advanced Materials: Coatings, Advanced Materials: Technical Ceramics and Glass, Advanced Materials: Optics and Photonics, Advanced Materials: Electrochemical, Computer Hardware: Tools, Quantum Economy: Components and Materials, MedTech: Advanced Materials, Electronics Manufacturing: Optical devices",,0,,0
10489088,OCTAIPIPE LIMITED,41,1951293,0.555,0.555,,Small,11/21/2016 00:00:00,We deliver bespoke ai-driven business innovation & solutions through our data science and machine learning services. see how we do it!,t-dab.ai,E1 6JN,"Engineering Biology Supply Chain, Cloud Computing, Advanced Manufacturing, Data Infrastructure, Cyber, MedTech, Energy Management, Artificial Intelligence, Internet of Things","Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Cloud Computing: Platform as a Service (PaaS) & Platform Management, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, Data Infrastructure: Data Infrastructure Services, Cyber: IoT Security, MedTech: Artificial Intelligence, Energy Management: AI and IoT, Artificial Intelligence: Machine Learning, Artificial Intelligence: Systems Optimisation, Artificial Intelligence: Green Tech, Artificial Intelligence: Life Sciences, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis, Internet of Things: Smart Cities and Transport, Internet of Things: Industrial IoT",854341.61,4.54,2024-01-01,0
10342164,INAWISDOM LTD,200,27720583,0.476,0.509,0.443,Medium,08/23/2016 00:00:00,,inawisdom.com,EC2M 4AG,"Autonomy and Robotics, Engineering Biology Supply Chain, Advanced Manufacturing, Data Infrastructure, Artificial Intelligence","Autonomy and Robotics: Reasoning and Acting, Engineering Biology Supply Chain: Computational - AI / Bioinformatics / Omics / Software, Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, Data Infrastructure: Data Infrastructure Services, Artificial Intelligence: Machine Learning, Artificial Intelligence: Green Tech, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis",,0,2020-12-01,0
11160393,SMARTIA LTD,21,981265,0.261,0.261,,Small,01/19/2018 00:00:00,"Empowering engineers to easily connect and transform operational data into actionable insights and machine intelligence. developers of maio, an industrial intelligence technology combining ai (artificial intelligence) and iot (internet of things).",smartia.tech,BS16 7FR,"Advanced Manufacturing, Cyber, MedTech, Artificial Intelligence, Internet of Things","Advanced Manufacturing: Industrial IoT, Advanced Manufacturing: Artificial Intelligence, Cyber: IoT Security, MedTech: Artificial Intelligence, Artificial Intelligence: Machine Learning, Artificial Intelligence: Industry 4.0 and Automation, Artificial Intelligence: Enabling Platforms, Artificial Intelligence: Data Analysis, Internet of Things: Industrial IoT",609893.85,1.96,2022-10-01,0
03761340,RSK GROUP LIMITED,21028,3050112500,0.498,0.413,0.583,Large,04/28/1999 00:00:00,"Rsk has grown into a leading integrated environmental, engineering and technical services business, providing end-to-end services.",rskgroup.com,WA6 0AR,"Life Sciences, Net Zero","Life Sciences: Environmental Sciences Products and Services, Net Zero: Heating, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services, Net Zero: Renewable Energy Planning Database",303565,10,2021-08-01,0
12086431,MERITAS SCIENTIFIC HOLDINGS LIMITED,784,62535380,0.2095,0.131,0.288,Large,07/05/2019 00:00:00,Cawood scientific is the uk's largest independent provider of analytical testing and sampling services for the land-based industries.,cawood.co.uk,RG42 6NS,"Life Sciences, Food Tech, AgriTech","Life Sciences: Environmental Sciences Products and Services, Food Tech: Agri Tech, AgriTech: AgSciences",,0,,0
