Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
11938544,MDPI UK LIMITED,252,0,1.216,1.216,,Large,04/10/2019 00:00:00,"Current oncology, an international, peer-reviewed open access journal.",mdpi.com,M1 4HD,"Media and Publishing, Research and Consulting - Physical Sciences and Engineering","Media and Publishing: Publishing Services, Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research",,0,,0
07360585,TGRC LTD,66,5336134,0.251,0.251,,Medium,08/31/2010 00:00:00,"The green recruitment company are the leading provider of global recruitment solutions to the green energy & green technology recruitment sector, providi...",greenrecruitmentcompany.com,SE1 8RT,"Business Support Services, Net Zero","Business Support Services: Employment and Recruitment Services, Net Zero: Low Carbon Energy Generation, Net Zero: Renewable Energy Planning Database",,0,,0
01250443,NIRAS GROUP (UK) LTD,204,61538660,0.347,0.267,0.427,Large,03/22/1976 00:00:00,Niras - ip consult in germany has been implementing projects for the past 40 years. we also act as advisors to public and non-governmental organisations in germany.,niras.com,SL5 7JR,"CleanTech, Research and Consulting - Physical Sciences and Engineering, Net Zero","CleanTech: Agriculture, Forestry and Biodiversity, Research and Consulting - Physical Sciences and Engineering: Engineering Consulting, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services, Net Zero: Renewable Energy Planning Database",,0,,0
11000495,HYDROCK HOLDINGS LIMITED,1180,129951015,0.25,0.172,0.328,Large,10/06/2017 00:00:00,"Hydrock is an award-winning, multidisciplinary engineering design consultancy, supporting clients across the uk.",hydrock.com,BS32 4DF,Research and Consulting - Physical Sciences and Engineering,"Research and Consulting - Physical Sciences and Engineering: Engineering Consulting, Research and Consulting - Physical Sciences and Engineering: Engineering Research",,0,,0
07068933,SOL ENVIRONMENT LIMITED,20,1484515,0.232,0.232,,Small,11/06/2009 00:00:00,Sol environment is an independent environmental consultancy that provides comprehensive and pragmatic sustainability advice across a broad spectrum of service areas. we specialise in renewable & low carbon technologies and environmental compliance,sol-environment.co.uk,WR14 3HT,"ESG, Life Sciences, Net Zero","ESG: ESG Consultants, Life Sciences: Environmental Sciences Products and Services, Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services, Net Zero: Renewable Energy Planning Database",31098,0,,0
10766952,VIVID TECHNOLOGY SEARCH LIMITED,23,652019,0.251,0.251,,Small,05/12/2017 00:00:00,,vividtechnology.io,BN1 2RT,Business Support Services,Business Support Services: Employment and Recruitment Services,,0,,0
11371687,ELEMENT MATERIALS TECHNOLOGY AEROSPACE UK LIMITED,155,27627940,0.157,-0.009,0.323,Medium,05/21/2018 00:00:00,"A global provider of testing, inspection and certification services for materials and products.",element.com,WC2E 7HA,Research and Consulting - Physical Sciences and Engineering,Research and Consulting - Physical Sciences and Engineering: Engineering Research,,0,,0
01959735,ELEMENT MATERIALS TECHNOLOGY HOLDING UK LTD,129,42139619,0.2575,0.167,0.348,Large,11/15/1985 00:00:00,"A global provider of testing, inspection and certification services for materials and products.",element.com,WC2E 7HA,Research and Consulting - Physical Sciences and Engineering,Research and Consulting - Physical Sciences and Engineering: Engineering Research,0,0,,0
11371466,ELEMENT MATERIALS TECHNOLOGY SHARED SERVICES LIMITED,183,31577343,0.3185,0.117,0.52,Medium,05/18/2018 00:00:00,"A global provider of testing, inspection and certification services for materials and products.",element.com,WC2E 7HA,Research and Consulting - Physical Sciences and Engineering,Research and Consulting - Physical Sciences and Engineering: Engineering Research,,0,,0
FC031294,EQTEC PUBLIC LIMITED COMPANY,36,16083121,0.338,0.149,0.527,Medium,03/26/2013 00:00:00,"Welcome to eqtec, the world-leading technology innovation company. creating syngas from advanced gasification for sustainable waste to energy and biofuels.",eqtec.com,T12 W7CV,"CleanTech, Research and Consulting - Physical Sciences and Engineering, Net Zero, Energy Generation","CleanTech: Mining, Fuels and Biofuels, CleanTech: Environmental Protection and Monitoring, CleanTech: Energy Production, Management and Storage, Research and Consulting - Physical Sciences and Engineering: Engineering Research, Net Zero: Low Carbon Energy Generation, Net Zero: Renewable Energy Planning Database, Energy Generation: Bioenergy",,0,,0
NI660793,HALO TECHNOLOGIES EUROPE LIMITED,28,1803308,0.359,0.359,,Small,04/18/2019 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,BT12 5GH,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,15.79,2024-02-01,0
06983493,SIMPRO SOFTWARE LTD.,180,11960033,0.278,0.278,,Medium,08/06/2009 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,RG1 1NB,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,0,,0
08991238,HIKVISION UK LIMITED,182,62142480,0.2005,0.177,0.224,Large,04/10/2014 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,UB11 1ET,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,0,,0
10055041,STL TECH LIMITED,32,1580235,0.406,0.406,,Small,03/10/2016 00:00:00,,stl-tech.co.uk,BS2 0JZ,Research and Consulting - Physical Sciences and Engineering,Research and Consulting - Physical Sciences and Engineering: Engineering Research,1561624.5799999998,0,,0
08536866,SUPERDIELECTRICS LTD,43,2969763,0.588,0.588,,Small,05/20/2013 00:00:00,Storing sustainable energy without costing the earth // a breakthrough energy storage technology that complements batteries & solves the world’s renewable energy storage problem.,superdielectrics.com,CB10 1XL,"Life Sciences, CleanTech, Energy Storage, Research and Consulting - Physical Sciences and Engineering, Net Zero","Life Sciences: Research, CleanTech: Energy Production, Management and Storage, Energy Storage: Batteries, Energy Storage: Mechanical, Research and Consulting - Physical Sciences and Engineering: Engineering Research, Net Zero: Low Carbon Energy Generation, Net Zero: Energy Storage",,0,,0
