Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
OC331235,IQ CAPITAL PARTNERS LLP,34,0,0.421,0.421,,Small,09/10/2007 00:00:00,Iq capital provides investment and expert assistance to rapidly scale your ip-rich technology company to exit.,iqcapital.vc,W1T 4HD,,,,0,,0
03847202,REPLY LIMITED,3445,575422417,0.6435,0.68,0.607,Large,09/23/1999 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Advanced Manufacturing, Cyber, Immersive Technologies","Advanced Manufacturing: Industrial IoT, Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Hardware, Immersive Technologies: Emerging Markets",215758,0.21,2021-03-01,0
11939414,AWC PARTNERS REPLY LIMITED,55,21597815,0.45799999999999996,0.103,0.813,Medium,04/11/2019 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Advanced Manufacturing, Cyber, Immersive Technologies","Advanced Manufacturing: Industrial IoT, Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Hardware, Immersive Technologies: Emerging Markets",,0,,0
11354629,ARLANIS REPLY LIMITED,78,7508607,0.5645,0.541,0.588,Medium,05/10/2018 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Advanced Manufacturing, Cyber, Immersive Technologies","Advanced Manufacturing: Industrial IoT, Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Hardware, Immersive Technologies: Emerging Markets",,0,,0
07466050,WM REPLY LIMITED,163,34096461,0.2125,0.181,0.244,Medium,12/10/2010 00:00:00,Solidsoft reply is microsoft gold certified partner focused on integration with microsoft biztalk and the microsoft azure cloud platform.,reply.com,SW1W 0EB,"Advanced Manufacturing, Cyber, Immersive Technologies","Advanced Manufacturing: Industrial IoT, Cyber: IoT Security, Immersive Technologies: Retail & Fashion, Immersive Technologies: Hardware, Immersive Technologies: Emerging Markets",,0,,0
09064488,ENTREPRENEUR FIRST OPERATIONS LIMITED,121,38227862,0.35650000000000004,0.153,0.56,Large,05/30/2014 00:00:00,We are the best place for the world's most ambitious talent to come together and build game-changing technology startups from scratch.,joinef.com,E2 8JF,FinTech,FinTech: Digital Capital Raising,,0,,1
05913305,EUROCONSULT INTERNATIONAL MERGERS & ACQUISITIONS LIMITED,24,1773966,0.241,0.241,,Small,08/22/2006 00:00:00,"Euroconsult international mergers & acquisitions (ec m&a) is an independent, globally active, investment banking firm specializing in mergers, acquisitions, company sales and corporate divestitures.",ec-ma.com,E1W 9US,"Sensors, Life Sciences, Pharma, CleanTech, Electronics Manufacturing","Sensors: Industry 4.0, Life Sciences: Life Sciences Manufacturing, Pharma: Automation, CleanTech: Environmental Protection and Monitoring, Electronics Manufacturing: Measuring and metrology devices",,0,,0
04965442,LUXOFT UK LIMITED,366,59292049,0.215,0.224,0.206,Large,11/17/2003 00:00:00,Luxoft helps you energize your digital business strategy with advanced automation and emerging technologies.,luxoft.com,GU11 1PZ,Data Infrastructure,"Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software",,0,,0
11882245,CHETU LTD,135,481422,0.632,0.632,,Medium,03/14/2019 00:00:00,Chetu is a us-based software development company providing businesses worldwide with tailored software solutions from industry specialized developers.,chetu.com,B16 8QG,"Marine and Maritime, Supply Chain Logistics, Data Infrastructure, Agency Market","Marine and Maritime: Autonomy & Robotics, Supply Chain Logistics: Supply Chain Visibility, Data Infrastructure: Data Infrastructure Software, Agency Market: Digital Transformation",,0,,0
SC389144,PURVIEW CONSULTANCY SERVICES LTD,108,5134489,0.209,0.209,,Medium,11/19/2010 00:00:00,"We are fast-growing, it consulting organization providing end-to-end information technology consultancy services to several global organizations from the domains such as banking & financial services, insurance, healthcare services, media, mobility, telecom, manufacturing, retail, fmcg and utilities.",purviewservices.com,EH3 6AA,"Cloud Computing, Data Infrastructure, Software as a Service (SaaS), MedTech, Artificial Intelligence, EdTech","Cloud Computing: Platform as a Service (PaaS) & Platform Management, Cloud Computing: SaaS (Software as a Service), Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Software as a Service (SaaS): Analytics, Software as a Service (SaaS): Development, MedTech: Monitoring Technologies, Artificial Intelligence: Data Analysis, EdTech: Artificial Intelligence",,0,,0
