Companynumber,Companyname,BestEstimateCurrentEmployees,BestEstimateCurrentTurnover,BestEstimateGrowthPercentagePerYear,BestEstimateEmployeeGrowthPercentagePerYear,BestEstimateTurnoverGrowthPercentagePerYear,CompanyGrowthStage,SortableIncorporationDate,Description,URLs,Registeredpostcode,RTICs,RTICsubsectors,TotalInnovateUKFunding,TotalDealroomFundingMillionPounds,LastKnownDealroomFunding,WomenFounded
NI660793,HALO TECHNOLOGIES EUROPE LIMITED,28,1803308,0.359,0.359,,Small,04/18/2019 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,BT12 5GH,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,15.79,2024-02-01,0
06983493,SIMPRO SOFTWARE LTD.,180,11960033,0.278,0.278,,Medium,08/06/2009 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,RG1 1NB,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,0,,0
08991238,HIKVISION UK LIMITED,182,62142480,0.2005,0.177,0.224,Large,04/10/2014 00:00:00,Security and fire products and suppliers,directory.ifsecglobal.com,UB11 1ET,"Business Support Services, Telecommunications","Business Support Services: Security Services, Telecommunications: Wireless Connectivity",,0,,0
07237758,GENERAL SURVEY LTD,14,1236391,0.17,0.17,,Small,04/28/2010 00:00:00,"Safety products, ppe and services from shp - the health and safety community.",directory.shponline.co.uk,YO7 1DA,Telecommunications,Telecommunications: Wireless Connectivity,,0,,0
08550019,STERLITE TECHNOLOGIES UK VENTURES LTD,439,30317849,1.306,1.483,1.129,Large,05/30/2013 00:00:00,"Stl is the worlds leading data innovator. stl tech has expertise ranging from connectivity and access solutions, hyper-scale network design and deployment, programmable networks, to ai powered digital solutions. stl tech (sterlite) is an innovation powerhouse in next-gen technologies like 5g, ai , fttx, wifi, analytics, optical interconnect, virtualised access solutions, network software and system integration.",stl.tech,NG17 9GU,"Cloud Computing, Data Infrastructure, Telecommunications, Photonics, Cyber, Quantum Economy","Cloud Computing: SaaS (Software as a Service), Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Centres, Telecommunications: Wireless Connectivity, Telecommunications: Fibre Connectivity, Telecommunications: Network Providers, Telecommunications: Site Services, Telecommunications: 5G Radio Access Network, Photonics: Telecommunications, Photonics: Quantum Tech, Cyber: Identity Management, Cyber: IoT Security, Quantum Economy: Photonics",,0,,0
05153745,CELLNEX UK LIMITED,870,1324420000,3.045,1.782,4.308,Large,06/15/2004 00:00:00,Europe’s leading operator of telecommunications infrastructures that empowers connectivity for people and territories. discover our solutions!,cellnex.com,RG1 1AZ,Telecommunications,"Telecommunications: Wireless Connectivity, Telecommunications: 5G Radio Access Network",,0,2024-06-01,0
08706503,ALL.SPACE NETWORKS LIMITED,368,11599021,0.637,1.021,0.253,Large,09/26/2013 00:00:00,"All.space is revolutionising communications with the world’s only intelligent, multi-network, service enablement platform.",all.space,RG6 1RB,"Space Energy, In-Orbit Servicing and Manufacturing, Space Economy, Telecommunications","Space Energy: Operations Management, In-Orbit Servicing and Manufacturing: Assembly, Space Economy: Communications, Telecommunications: Satellite Communications",922123,90.71,2023-07-01,0
12780803,KIGEN (UK) LIMITED,183,31726147,0.5645,0.088,1.041,Medium,07/30/2020 00:00:00,"Kigen provides technologies for enabling mobile communications for your devices. from sim to esim and rsp, discover our products.",kigen.com,CB1 2GE,"Advanced Manufacturing, Data Infrastructure, Telecommunications, Cyber, AgriTech, Internet of Things","Advanced Manufacturing: Industrial IoT, Data Infrastructure: Trusted Execution Environments, Telecommunications: Wireless Connectivity, Telecommunications: Network Providers, Cyber: IoT Security, AgriTech: Remote Sensing, Internet of Things: Connectivity Platforms",,15.79,2023-07-01,0
11341216,PRINCIPLE NETWORKS LTD,45,2136119,0.627,0.627,,Small,05/02/2018 00:00:00,"In may 2018, russell crowley and alex steer took a decision that would change their lives and more importantly change the it networking industry for good and for the better.",principle-networks.com,EC2Y 9HT,"Data Infrastructure, Telecommunications, Cyber","Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Telecommunications: Wireless Connectivity, Telecommunications: Fibre Connectivity, Telecommunications: Network Providers, Cyber: Network Security",,0,,0
08556605,SIFI NETWORKS AMERICA LIMITED,110,8283782,1.009,1.009,,Medium,06/05/2013 00:00:00,"Learn more about how sifi networks is funding, building and operating open access fiber networks across the us.",sifinetworks.com,WC1X 8UE,"Telecommunications, Net Zero","Telecommunications: Wireless Connectivity, Telecommunications: 5G Radio Access Network, Net Zero: Building Technologies",,0,,0
09892623,PRODAPT (UK) LIMITED,180,66096703,0.49150000000000005,0.448,0.535,Large,11/27/2015 00:00:00,"We bring service providers closer to their end users through next-generation digital experiences powered by 5g, ai, data, cloud, it, and network services.",prodapt.com,RG1 1NU,"Data Infrastructure, Telecommunications","Data Infrastructure: Data Infrastructure Services, Telecommunications: 5G Radio Access Network",,0,,0
07046599,PRODAPT CONSULTING (UK) LIMITED,67,12192803,0.193,0.193,,Medium,10/16/2009 00:00:00,"We bring service providers closer to their end users through next-generation digital experiences powered by 5g, ai, data, cloud, it, and network services.",prodapt.com,RG1 1NU,"Data Infrastructure, Telecommunications","Data Infrastructure: Data Infrastructure Services, Telecommunications: 5G Radio Access Network",,0,,0
SC147188,INSTALLATION TECHNOLOGY LIMITED,148,87694697,0.2,0.176,0.224,Large,10/27/1993 00:00:00,"We specialise in data cabling, network solutions and wireless connectivity across london and the uk.",installationtechnology.com,G2 5AP,Telecommunications,Telecommunications: Site Services,,0,,0
SC514806,POWERTEK UTILITIES LIMITED,48,3632271,0.463,0.463,,Small,09/04/2015 00:00:00,,powertekutilities.com,PA1 1UT,Telecommunications,Telecommunications: Site Services,,0,,0
10888253,GROUND CONTROL TECHNOLOGIES HOLDINGS LTD,126,45013334,0.21150000000000002,0.192,0.231,Large,07/28/2017 00:00:00,Ground control's systems deliver best in breed satellite & cellular iot solutions for your remote critical communication needs. discover our range of solutions.,groundcontrol.com,GL2 8AX,"Space Energy, Space Economy, Telecommunications, Cyber, Electronics Manufacturing, AgriTech, Geospatial Economy, Internet of Things","Space Energy: Operations Management, Space Energy: Ground Segment, Space Economy: Mapping, Space Economy: Communications, Space Economy: Data Infrastructures, Space Economy: Location and Connectivity, Telecommunications: Network Providers, Telecommunications: Satellite Communications, Cyber: IoT Security, Electronics Manufacturing: Communications, AgriTech: Remote Sensing, Geospatial Economy: Data Processing and Visualisation, Internet of Things: Connectivity Platforms",,0,,0
04380546,VCG TECHNOLOGY SERVICES LIMITED,138,37136978,0.2405,0.217,0.264,Large,02/25/2002 00:00:00,"Vcg is a technology and it transformation services partner, working with businesses of any size to support them on their growth journey.",vcg.group,SK6 2SN,"Cloud Computing, Software Development, Data Infrastructure, Telecommunications, Cyber","Cloud Computing: Platform as a Service (PaaS) & Platform Management, Cloud Computing: SaaS (Software as a Service), Software Development: Security Engineering, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Data Infrastructure: Data Storage, Telecommunications: Fibre Connectivity, Cyber: Threat Management",,0,2012-03-01,0
SC487101,E&S UTILITIES LIMITED,115,6469889,0.383,0.383,,Medium,09/19/2014 00:00:00,,powertekutilities.com,G2 5HF,Telecommunications,Telecommunications: Site Services,,0,,0
08842586,OSI MARITIME SYSTEMS (UK) LTD,22,1626882,0.272,0.272,,Small,01/13/2014 00:00:00,Leading in naval integrated navigation & tactical solutions | the leader in naval integrated-navigation & tactical solutions,osimaritime.com,PO7 7SF,"Marine and Maritime, Telecommunications","Marine and Maritime: Naval Defence, Telecommunications: Satellite Communications",,0,,0
09589032,TRENCH NETWORKS LIMITED,24,2555558,0.29,0.29,,Small,05/13/2015 00:00:00,"Trench networks is an award-winning internet service provider, specialising in delivering high speed connectivity in difficult or demanding environments.",trenchnetworks.com,NE3 3LS,Telecommunications,Telecommunications: Wireless Connectivity,,1.61,2023-11-01,0
09714903,XALIENT HOLDINGS LIMITED,257,93907500,0.5415,0.427,0.656,Large,08/03/2015 00:00:00,An award-winning it consulting and managed services organisation specialising in software-defined security and networking technologies.,xalient.com,WA14 2DT,"Data Infrastructure, Telecommunications, Cyber","Data Infrastructure: Data Infrastructure Services, Telecommunications: Network Providers, Cyber: Cryptographic Authentication, Cyber: Network Security, Cyber: Threat Management, Cyber: Identity Management",0,0,,1
10322838,NEUCO LIMITED,40,1121361,0.297,0.297,,Small,08/10/2016 00:00:00,"Recruiting brilliant people to do amazing things in content & media satellite & newspace, connectivity and cyber security. we help you create the future, faster.",neuco-group.com,BN1 1UF,Telecommunications,Telecommunications: Satellite Communications,,0,,0
SC345442,SYSTAL TECHNOLOGY SOLUTIONS LIMITED,557,122797036,0.40800000000000003,0.321,0.495,Large,07/08/2008 00:00:00,"Let systal listen to your requirements and we guarantee a solution that will excel your expectations in performance, commercial positioning and flexibility.",systal.co.uk,G33 1AP,"Cloud Computing, Data Infrastructure, Telecommunications","Cloud Computing: Platform as a Service (PaaS) & Platform Management, Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Data Infrastructure: Data Infrastructure Software, Telecommunications: Wireless Connectivity",,0,,0
06936153,CLEARCOMM GROUP LIMITED,25,482024,-0.086,0.443,-0.615,Small,06/17/2009 00:00:00,Clearcomm group limited were established in 2009 to meet the demands for the continued growth in the telecoms sector.,clearcommgroup.com,NG17 9GU,Telecommunications,"Telecommunications: Wireless Connectivity, Telecommunications: 5G Radio Access Network",,0,2021-07-01,0
03120336,BDR TECHNICAL SOLUTIONS LTD,53,1882160,0.196,0.196,,Medium,10/31/1995 00:00:00,"Offering simplified business transformation solutions for sme, enterprises and public sector across the uk, europe and the americas.",bdrgroup.co.uk,CV37 9NR,"Data Infrastructure, Telecommunications","Data Infrastructure: Data Infrastructure Hardware, Telecommunications: Wireless Connectivity",,0,,0
06417349,METRICELL GROUP LIMITED,180,7763380,0.519,0.942,0.096,Medium,11/05/2007 00:00:00,We provide systems and software which serve to drive insight and improvement for the connections we rely on for our personal and professional lives.,metricell.com,RH13 5PX,Telecommunications,Telecommunications: Network Providers,,0,,0
05320461,ADTRAN EUROPE LIMITED,74,252984250,1.1825,0.521,1.844,Large,12/23/2004 00:00:00,"We are a leading global provider of networking and communications equipment. our products enable voice, data, video and internet communications across a variety of network infrastructures. our solutions are currently in use by service providers, private enterprises, government organizations and millions of individual users worldwide.",adtran.com,RG24 8UT,Telecommunications,"Telecommunications: Wireless Connectivity, Telecommunications: Fibre Connectivity",,0,,0
06070361,ICOM ESTATE SOLUTIONS LTD,28,6170421,0.1465,0.147,0.146,Small,01/26/2007 00:00:00,"Offering simplified business transformation solutions for sme, enterprises and public sector across the uk, europe and the americas.",bdrgroup.co.uk,CV37 9NR,"Data Infrastructure, Telecommunications","Data Infrastructure: Data Infrastructure Hardware, Telecommunications: Wireless Connectivity",,0,,0
03841133,DATEL SERVICES LIMITED,25,1763065,0.266,0.266,,Small,09/14/1999 00:00:00,Datel services ltd is a leading provider of structured cabling installation services in southwest england and southern wales. call us today on 03335 552 062 for more information!,datelservices.co.uk,BS24 7JP,"Data Infrastructure, Telecommunications","Data Infrastructure: Data Infrastructure Hardware, Telecommunications: Site Services",,0,,0
00282704,MILLS LIMITED,57,122930800,0.339,0.055,0.623,Large,12/16/1933 00:00:00,,millsltd.com,UB8 2GU,Telecommunications,Telecommunications: Site Services,,0,,0
09182069,ADVATEK (UK) LIMITED,34,2543813,0.334,0.334,,Small,08/19/2014 00:00:00,A security native systems integrator and network services provider.,advatek.co.uk,LL13 9AE,"Data Infrastructure, Telecommunications, Cyber","Data Infrastructure: Data Infrastructure Hardware, Data Infrastructure: Data Infrastructure Services, Telecommunications: Wireless Connectivity, Cyber: Network Security, Cyber: Identity Management",,0,,0
03049312,SINCH UK LTD.,183,585478945,0.34850000000000003,0.272,0.425,Large,04/25/1995 00:00:00,"Connect with customers and make engagement personal with our simple, programmable sms, voice, video, & verification tools. find out more information today.",sinch.com,CT5 3BJ,"Business Support Services, Telecommunications, Software as a Service (SaaS), Cyber","Business Support Services: Office Support Services, Telecommunications: Network Providers, Software as a Service (SaaS): Communications, Software as a Service (SaaS): Marketing, Cyber: Cryptographic Authentication",,0,2014-07-01,0
