lad,lad_code,Final area,LAD23CD,LONG,LAT,Shape__Area,Shape__Length
Buckinghamshire,E06000060,Buckinghamshire,E06000060,-0.80573,51.76967,1572324915,301394.3371
Peterborough,E06000031,Cambridgeshire and Peterborough,E06000031,-0.26874,52.59214,341522886.9,97197.35765
Cambridge,E07000008,Cambridgeshire and Peterborough,E07000008,0.126436,52.20017,40210644.39,30621.76634
East Cambridgeshire,E07000009,Cambridgeshire and Peterborough,E07000009,0.283149,52.35788,658590905.4,166827.1837
Fenland,E07000010,Cambridgeshire and Peterborough,E07000010,0.008927,52.53545,547646528.9,136155.9888
Huntingdonshire,E07000011,Cambridgeshire and Peterborough,E07000011,-0.2247,52.35314,911264462.6,193578.6165
South Cambridgeshire,E07000012,Cambridgeshire and Peterborough,E07000012,0.091017,52.10805,898629643.3,225263.7367
Warrington,E06000007,Cheshire and Warrington,E06000007,-2.56167,53.39164,178558338.8,72259.48922
Cheshire East,E06000049,Cheshire and Warrington,E06000049,-2.29299,53.16793,1168703023,236519.3505
Cheshire West and Chester,E06000050,Cheshire and Warrington,E06000050,-2.70298,53.16336,919469346.7,226900.9695
Cornwall,E06000052,Cornwall and Isles of Scilly,E06000052,-4.64254,50.45022,3573774345,561819.0739
Isles of Scilly,E06000053,Cornwall and Isles of Scilly,E06000053,-6.30217,49.92332,13574584.3,40388.20647
Cumberland,E06000063,Cumbria,E06000063,-3.30797,54.68606,3036749284,393850.88
Westmoreland and Furness,E06000064,Cumbria,E06000064,-2.71336,54.4917,3793637698,406349.5622
Plymouth,E06000026,Devon,E06000026,-4.11297,50.40494,81990179.39,56400.20746
Torbay,E06000027,Devon,E06000027,-3.55523,50.47092,65466044.37,55439.00258
East Devon,E07000040,Devon,E07000040,-3.22364,50.75761,817043967.1,169148.4103
Exeter,E07000041,Devon,E07000041,-3.51368,50.71782,46523292.26,30579.48648
Mid Devon,E07000042,Devon,E07000042,-3.5921,50.86884,906845407,204295.8001
North Devon,E07000043,Devon,E07000043,-3.92688,51.07621,1089319728,202461.651
South Hams,E07000044,Devon,E07000044,-3.81996,50.37196,890852058.2,245108.075
Teignbridge,E07000045,Devon,E07000045,-3.65289,50.60981,676304600.6,133249.305
Torridge,E07000046,Devon,E07000046,-4.21728,50.90739,984704199.1,225484.6111
West Devon,E07000047,Devon,E07000047,-4.03358,50.66482,1167273603,203933.6257
"Bournemouth, Christchurch and Poole",E06000058,Dorset,E06000058,-1.84807,50.74609,162230399.9,94589.211
Dorset,E06000059,Dorset,E06000059,-2.41459,50.79698,2489108947,402023.8446
Derby,E06000015,East Midlands CCA,E06000015,-1.47186,52.91464,78253866.99,40189.14239
Nottingham,E06000018,East Midlands CCA,E06000018,-1.16667,52.9542,75902792.38,49589.04325
Amber Valley,E07000032,East Midlands CCA,E07000032,-1.46219,53.02884,267683390,85443.68986
Bolsover,E07000033,East Midlands CCA,E07000033,-1.27228,53.23874,160375692.1,81798.17349
Chesterfield,E07000034,East Midlands CCA,E07000034,-1.40115,53.25574,65546901.07,41477.29567
Derbyshire Dales,E07000035,East Midlands CCA,E07000035,-1.70708,53.12327,795616955.3,198196.1673
Erewash,E07000036,East Midlands CCA,E07000036,-1.35089,52.93819,108892651.7,57555.81931
High Peak,E07000037,East Midlands CCA,E07000037,-1.844,53.38563,540619532.8,133866.6428
North East Derbyshire,E07000038,East Midlands CCA,E07000038,-1.44253,53.16243,274748256.2,129096.1254
South Derbyshire,E07000039,East Midlands CCA,E07000039,-1.5348,52.8249,336639990.5,128727.2569
Ashfield,E07000170,East Midlands CCA,E07000170,-1.25422,53.09747,109082534.6,57298.70217
Bassetlaw,E07000171,East Midlands CCA,E07000171,-0.9787,53.35604,639301219.5,136464.9708
Broxtowe,E07000172,East Midlands CCA,E07000172,-1.25944,52.97208,79433918.64,52750.1229
Gedling,E07000173,East Midlands CCA,E07000173,-1.11907,53.02434,120122088.8,59268.70699
Mansfield,E07000174,East Midlands CCA,E07000174,-1.17804,53.16703,78365962.79,45441.41251
Newark and Sherwood,E07000175,East Midlands CCA,E07000175,-0.94643,53.1096,651135384.7,159292.0811
Rushcliffe,E07000176,East Midlands CCA,E07000176,-1.01097,52.9124,409779466,104624.6866
Eastbourne,E07000061,East Sussex,E07000061,0.258516,50.77387,44441865.84,29562.34321
Hastings,E07000062,East Sussex,E07000062,0.578395,50.86724,29520571.57,27845.59792
Lewes,E07000063,East Sussex,E07000063,0.007658,50.83342,292687380.2,93893.9484
Rother,E07000064,East Sussex,E07000064,0.542937,50.94871,515828355.3,134147.9732
Wealden,E07000065,East Sussex,E07000065,0.205156,50.93323,839410904.5,168995.5446
Southend-on-Sea,E06000033,Essex,E06000033,0.706923,51.54917,44700956.31,36510.70263
Thurrock,E06000034,Essex,E06000034,0.334874,51.50996,161565237.7,73520.59811
Basildon,E07000066,Essex,E07000066,0.475056,51.59037,110725381.5,49853.42158
Braintree,E07000067,Essex,E07000067,0.575912,51.91635,612612223.1,131743.9577
Brentwood,E07000068,Essex,E07000068,0.290091,51.64108,153007283.2,62498.17343
Castle Point,E07000069,Essex,E07000069,0.588127,51.56159,44443607.27,39318.19457
Chelmsford,E07000070,Essex,E07000070,0.491177,51.73503,340545363.8,94171.23079
Colchester,E07000071,Essex,E07000071,0.85982,51.87701,328509336.6,131182.0623
Epping Forest,E07000072,Essex,E07000072,0.154146,51.71278,339297470.1,101260.5821
Harlow,E07000073,Essex,E07000073,0.103888,51.76614,29849413.08,22091.22062
Maldon,E07000074,Essex,E07000074,0.773106,51.77458,358322811.7,160732.3072
Rochford,E07000075,Essex,E07000075,0.683442,51.5909,168469497.3,106533.5707
Tendring,E07000076,Essex,E07000076,1.108981,51.85674,329202834.9,143575.3868
Uttlesford,E07000077,Essex,E07000077,0.294499,51.9359,645326011.7,138944.4868
Cheltenham,E07000078,Gloucestershire,E07000078,-2.07515,51.89861,46538844.81,31000.68489
Cotswold,E07000079,Gloucestershire,E07000079,-1.97058,51.77255,1167408877,277372.6235
Forest of Dean,E07000080,Gloucestershire,E07000080,-2.47755,51.81249,542623649.2,166765.0375
Gloucester,E07000081,Gloucestershire,E07000081,-2.23263,51.84641,40597168.89,28016.8047
Stroud,E07000082,Gloucestershire,E07000082,-2.30818,51.72001,472499798.7,142765.4672
Tewkesbury,E07000083,Gloucestershire,E07000083,-2.19997,51.93487,413495708.5,170213.8577
North East Lincolnshire,E06000012,Greater Lincolnshire,E06000012,-0.13911,53.52327,190561036.8,78299.37827
North Lincolnshire,E06000013,Greater Lincolnshire,E06000013,-0.52407,53.58643,849079577.4,183045.101
Rutland,E06000017,Greater Lincolnshire,E06000017,-0.6263,52.66765,391226387.9,96490.91514
Boston,E07000136,Greater Lincolnshire,E07000136,-0.11218,52.97797,365246292.6,100900.6801
East Lindsey,E07000137,Greater Lincolnshire,E07000137,0.020516,53.26446,1774430230,229912.0826
Lincoln,E07000138,Greater Lincolnshire,E07000138,-0.55848,53.21921,34776950.28,28546.92429
North Kesteven,E07000139,Greater Lincolnshire,E07000139,-0.47664,53.08059,921041108.5,163481.4885
South Holland,E07000140,Greater Lincolnshire,E07000140,-0.03057,52.78759,754602325.9,145705.7612
South Kesteven,E07000141,Greater Lincolnshire,E07000141,-0.49568,52.84885,942066293.3,184679.4977
West Lindsey,E07000142,Greater Lincolnshire,E07000142,-0.50774,53.40044,1158136215,221121.4441
Bolton,E08000001,Greater Manchester CA,E08000001,-2.47952,53.5845,138687865,64710.33404
Bury,E08000002,Greater Manchester CA,E08000002,-2.3088,53.59309,100712672.3,57016.25347
Manchester,E08000003,Greater Manchester CA,E08000003,-2.23359,53.47009,111898280.9,69387.51978
Oldham,E08000004,Greater Manchester CA,E08000004,-2.05274,53.55768,144009083.7,60962.51615
Rochdale,E08000005,Greater Manchester CA,E08000005,-2.14784,53.60741,156235168.8,70318.81383
Salford,E08000006,Greater Manchester CA,E08000006,-2.38485,53.47927,97966760.85,56607.45749
Stockport,E08000007,Greater Manchester CA,E08000007,-2.12465,53.39111,125568339.9,56970.43145
Tameside,E08000008,Greater Manchester CA,E08000008,-2.077,53.47867,102157730.7,43840.60972
Trafford,E08000009,Greater Manchester CA,E08000009,-2.36572,53.41672,108080386.8,50827.79228
Wigan,E08000010,Greater Manchester CA,E08000010,-2.57242,53.51445,188317219.2,71511.88725
Basingstoke and Deane,E07000084,Hampshire area,E07000084,-1.22023,51.25937,634608479.1,122978.5224
East Hampshire,E07000085,Hampshire area,E07000085,-0.93965,51.05774,514528117.6,124378.2632
Hart,E07000089,Hampshire area,E07000089,-0.88321,51.28198,213278822.5,65784.3475
Rushmoor,E07000092,Hampshire area,E07000092,-0.76807,51.27815,39457260.04,26459.77159
Test Valley,E07000093,Hampshire area,E07000093,-1.50214,51.13417,625590030.7,159720.9117
Winchester,E07000094,Hampshire area,E07000094,-1.24393,51.03002,661544469.6,142586.504
Broxbourne,E07000095,Hertfordshire,E07000095,-0.05073,51.7208,51741960.73,34985.11753
Dacorum,E07000096,Hertfordshire,E07000096,-0.55098,51.76845,214930898.5,93306.0025
Hertsmere,E07000098,Hertfordshire,E07000098,-0.26899,51.68017,99202699.26,52255.23307
North Hertfordshire,E07000099,Hertfordshire,E07000099,-0.22316,51.95732,372109579.3,142754.4363
Three Rivers,E07000102,Hertfordshire,E07000102,-0.45005,51.65632,88910485.81,64605.43606
Watford,E07000103,Hertfordshire,E07000103,-0.40429,51.6717,22713922.52,21681.06893
St Albans,E07000240,Hertfordshire,E07000240,-0.3407,51.77356,158865311.9,63002.82564
Welwyn Hatfield,E07000241,Hertfordshire,E07000241,-0.18518,51.76087,129449584.6,69326.05652
East Hertfordshire,E07000242,Hertfordshire,E07000242,0.002739,51.86485,477728689.6,112068.8511
Stevenage,E07000243,Hertfordshire,E07000243,-0.18987,51.90539,26824166.08,22050.21433
"Kingston upon Hull, City of",E06000010,Hull and East Yorkshire,E06000010,-0.30385,53.76921,70864432.02,40935.32145
East Riding of Yorkshire,E06000011,Hull and East Yorkshire,E06000011,-0.66195,53.88112,2407866942,344625.4029
Medway,E06000035,Kent,E06000035,0.563174,51.44772,190701602,115776.9492
Ashford,E07000105,Kent,E07000105,0.823374,51.13096,583622956.7,122850.2956
Canterbury,E07000106,Kent,E07000106,1.096328,51.28102,308386327,95761.84507
Dartford,E07000107,Kent,E07000107,0.245276,51.43373,72780878.86,44124.66819
