cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,163,13219.166666666666,81.09918200408998,46,99.57187269492431,2328588161.1666665,14285816.939672802,4816911,28341183.55807313,221553333.33333334,1359222.9038854805,0,6573408.618594827,28292035.95,857334.4227272727,294604,1251147.272754101,25,79,1,58
2,16,492.9166666666667,30.807291666666668,22,19.328632540343605,94521021.16666667,5907563.822916667,2817909.666666667,9727885.612905402,42495000,2655937.5,293333.3333333333,5131578.667238334,2906346.7666666666,264213.3424242424,218615.33333333334,305941.9857737999,1,11,0,4
3,16,913.3333333333334,57.083333333333336,62.75,36.12908954168526,61341684.333333336,3833855.2708333335,2774766,3873770.3084217496,87655000,5478437.5,1300000,8999603.642892651,11858311.153333332,1078028.2866666666,144882.33333333334,2772771.1177823693,4,8,0,4
4,28,3816.8333333333335,136.3154761904762,49.75,164.91067908634534,825561986.8333334,29484356.67261905,6085844.5,50408072.97538357,235008333.3333333,8393154.761904761,0,27009702.624654736,15707045.06,1427913.1872727273,78846.30666666667,2681243.8405795046,11,9,0,8
5,29,1552,53.51724137931034,25,106.5459449373575,531649779.5833333,18332751.020114943,1614500,42675371.26743863,25505000,879482.7586206896,0,2530893.1740831514,76518824.57,8502091.618888889,609893.85,20796262.828546032,6,12,0,11
6,30,2933.766666666667,97.79222222222222,49,164.56137815052318,986250259.0833334,32875008.63611111,3443189.05,80895264.70597607,123928500,4130950,0,15810992.804195136,424448.6066666667,70741.43444444444,10787.9,127788.35990755829,11,17,0,2
7,15,1576.75,105.11666666666667,27.5,214.17851041922208,442720089,29514672.6,2999222.5,64354029.101977445,7883333.333333333,525555.5555555555,0,2035467.9141734536,23461152.650000002,11730576.325000001,11730576.325000001,16126163.442903973,5,3,0,7
8,32,2191.25,68.4765625,33,102.62646982775836,448791308.98333335,14024728.405729167,3240561.5,31745930.3682214,0,0,0,0,737812,368906,368906,316744.2399918268,6,15,0,11
9,25,1247.4,49.896,30.5,70.43276431383968,410242465.7,16409698.628,3186304,28087177.563712608,3971000,158840,0,550128.2941278334,26754841.715,4459140.285833334,560586.9325,9200753.91858513,7,13,0,5
10,33,1751.3333333333333,53.07070707070707,21.5,75.10013893849764,429417969.25,13012665.734848484,2833453.5,44752358.45346824,0,0,0,0,6750,6750,6750,NA,7,8,0,18
11,14,2144,153.14285714285714,34,273.57857866751687,248964446.83333334,17783174.773809522,7065759.916666666,32859820.491761364,0,0,0,0,NA,NA,NA,NA,5,4,0,5
12,10,572,57.2,31,60.733202727834524,132483491.83333333,13248349.183333334,5452860.416666666,24112706.835538294,0,0,0,0,NA,NA,NA,NA,2,5,0,3
13,23,1212.3333333333333,52.710144927536234,44,50.03981287135538,108422633.5,4714027.543478261,2539337,7686195.158357267,391740000,17032173.913043477,5263333.333333333,26839209.818764266,19836416.136666667,1416886.8669047619,387202.5,2655866.7834096425,3,9,0,11
14,16,1020.5,63.78125,38,61.58326849342549,237792168.5,14862010.53125,4419251,34656229.99697263,25000,1562.5,0,6250,683189.5,227729.83333333334,310394,143178.53663200827,3,9,0,4
15,11,706.6333333333333,64.23939393939393,37,76.03797562648376,50014287.2,4546753.381818182,1763123,6268320.55222087,120810000,10982727.272727273,0,35989969.73905621,10735532.7,5367766.35,5367766.35,5575831.3664932065,1,7,0,3
16,18,2685.3333333333335,149.1851851851852,65.75,230.65990079112197,186430308.5,10357239.361111112,4858015,9904138.325827485,836062500,46447916.666666664,450000,131741147.31740935,11021191.5075,1102119.15075,930302.1699999999,561991.2057257864,7,7,0,4
17,25,2669.5333333333333,106.78133333333334,64,119.70171418061555,462323623.8333333,18492944.953333333,3866340.3333333335,34282332.73410786,170212000,6808480,0,12152440.885773616,1465087.8,244181.3,307374.3333333333,187847.89801523642,12,11,0,2
18,178,16593.183333333334,93.22013108614232,49,124.58167588482962,5761773058.95,32369511.56713483,3350437.25,149763562.02192146,6011519000,33772578.651685394,0,211488267.47548932,20803812.849166665,495328.8773611111,144374.33333333334,691376.1330856561,51,90,0,37
