cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,517,86646.41523809524,167.594613613337,27.928571428571427,1668.7845857883376,12156583487.925953,23513701.13718753,1863433,186300053.36660317,789660690.4761904,1527390.1169752234,0,11331518.979615333,21119383.543333333,844775.3417333333,22689.666666666668,2931916.6019122875,127,195,0,195
2,26,1379.2104761904761,53.04655677655678,26.714285714285715,60.096077409625686,84003187.96166667,3230891.8446794874,1041757.8214285715,4344906.787647252,1456857.1428571427,56032.96703296703,0,200922.514489754,1116504.0266666666,279126.00666666665,1970.68,554513.3474084528,7,7,0,12
3,29,1509.1080952380953,52.03821018062398,27,83.15442115276042,108334333.13190477,3735666.659720854,1351926,5503402.418624647,18949000,653413.7931034482,0,1741502.1280336734,15461710.676666666,1717967.852962963,74990,4862227.793506892,7,8,0,14
4,20,526.5904761904761,26.32952380952381,20,22.53576021268789,34121476.11904762,1706073.8059523809,565903,1869797.6734391109,84105000,4205250,0,14890905.160975203,45379.333333333336,22689.666666666668,22689.666666666668,0,2,5,0,13
5,86,4278.186190476191,49.74635105204872,23.5,58.04437274734714,1130071652.262381,13140368.04956257,1111343.5,51558481.36359846,31550000,366860.4651162791,0,3391230.9969122726,185930.18,46482.545,40953,47433.23489988955,14,29,0,43
6,26,1191.9690476190476,45.84496336996337,38,46.709203802635685,161183970.5357143,6199383.482142857,2037290,11704892.48950559,63095000,2426730.769230769,0,8292256.380781734,2473533.49,618383.3725,628987.4975,682665.1399309634,4,12,0,10
7,22,1150.0833333333333,52.27651515151515,33.58333333333333,73.35583342761193,207260058.66666666,9420911.757575758,2157182,16060829.678970123,2476666.666666667,112575.75757575758,0,276094.6119145297,139991.33333333334,69995.66666666667,69995.66666666667,0,5,11,0,6
8,85,5454.956666666667,64.17596078431373,33,87.69387166887883,816207237.6138096,9602438.08957423,1740712,23545865.31890186,59987666.666666664,705737.2549019608,0,3769870.73799638,971292.02,97129.202,17037.9,262507.5536530058,24,35,0,26
9,47,4764.199047619048,101.36593718338399,31,243.04364986431054,372639191.83238095,7928493.443242148,2307052,14736563.558789482,20030000,426170.21276595746,0,2049903.0233599804,8974.87,2243.7175,1970.68,546.0749999999999,15,13,0,19
10,16,2105.6833333333334,131.60520833333334,52.08333333333333,245.85729131609466,422959108.25,26434944.265625,3581073.05,71643461.65060842,38621000,2413812.5,0,9623016.1191368,87335.8,43667.9,43667.9,31242.947441302655,4,10,0,2
11,25,28109.628571428573,1124.385142857143,20.4,5359.133160771136,3022672726.9761906,120906909.07904762,1701800.3333333333,570398918.4844366,358592500,14343700,0,71170972.30993593,746244,746244,746244,NA,8,11,0,6
12,31,2003.6980952380952,64.63542242703532,24.5,99.58000326880659,415080926.6111905,13389707.310038403,1614903.857142857,32835881.38087524,31612857.14285714,1019769.5852534563,0,5647687.409408478,34453.01333333333,17226.506666666664,17226.506666666664,21574.996977213126,6,15,0,10
13,20,1680.8404761904762,84.04202380952381,40.5,162.40908345482183,180992831.46071428,9049641.573035715,994489.8214285715,15702565.195259629,16010000,800500,0,2693384.634520975,943177.25,314392.4166666667,62506.75,458324.44983673503,6,9,1,4
14,16,833.702380952381,52.10639880952381,38.166666666666664,43.96516079932976,207204007.8857143,12950250.492857143,3033300.25,17785748.068955164,13573333.333333332,848333.3333333333,0,2422433.7318459684,15169490.083333334,1896186.2604166667,82992.5,5165934.479339835,5,4,0,7
15,30,2128.0166666666664,70.93388888888889,27.75,148.01918525874123,218449822.125,7281660.7375,1267934.25,21754221.882761147,2725000,90833.33333333333,0,497514.6564005259,120605.50333333333,60302.75166666666,60302.75166666666,3116.924334447697,4,16,1,9
16,16,749.9433333333334,46.87145833333334,32.583333333333336,41.593657600003105,89567716.17666666,5597982.261041666,4180323,5731445.677942311,131303333.33333333,8206458.333333333,0,31567559.044496577,1970.68,1970.68,1970.68,NA,3,8,0,5
17,19,1033.75,54.4078947368421,27,51.24469932492418,258051029.3,13581633.121052632,2171570,29638308.606520303,5000000,263157.8947368421,0,1147078.6693528087,31160,15580,15580,13321.891757554555,5,9,0,5
18,19,1047,55.10526315789474,33,43.308725581584305,144559883,7608414.894736842,3703371,8977412.193370879,26860000,1413684.2105263157,0,6162106.611763289,1666.6666666666667,1666.6666666666667,1666.6666666666667,NA,3,12,0,4
19,530,101115.16857142857,190.78333692722373,44.3,1430.7775990711723,44636353961.44,84219535.77630189,2971200.5,854604491.9526086,4319159428.571428,8149357.412398922,0,57983187.440641284,23188112.423333332,421602.04406060604,31420.5,1994997.8112388826,138,247,3,142
