cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Small
0,341,39568.59871794872,116.03694638694638,40.5,293.17522420255443,10023246680.511538,29393685.28009249,5164233.5,112565148.0575025,6329057500,18560285.923753668,0,66349465.10010745,6125306.5216666665,245012.26086666668,99863.24,390764.15510906087,107,159,75
2,14,1626,116.14285714285714,28.75,219.2111511561599,494032845.31666666,35288060.379761904,3206260.9,77998312.96224469,713773333.3333334,50983809.52380952,0,122495574.14546,0,0,0,0,6,4,4
3,10,933.5333333333333,93.35333333333334,53.25,80.9117965120959,89663406.8,8966340.68,3246315,15649173.891237386,85860000,8586000,845000,13142043.600597283,NA,NA,NA,NA,2,6,2
4,10,761.9423076923076,76.19423076923077,47.166666666666664,85.53013948166083,111782932.1025641,11178293.21025641,3252557.166666667,16030216.089470603,307707500,30770750,0,93221061.044657,358063.5,358063.5,358063.5,NA,2,8,0
5,44,4202.946153846154,95.5215034965035,54,145.23537165937339,1558401255.151282,35418210.34434732,1860412.6666666665,106450403.46393457,1112540000,25285000,0,92194161.8477622,1874124.93,267732.13285714283,348275,233990.5517377501,13,23,8
6,30,3511.2666666666664,117.04222222222222,82.5,169.83711932958335,644977434.2666667,21499247.80888889,5185557.208333334,62438665.924895756,441800000,14726666.666666666,0,46061172.07571368,0,0,0,NA,14,15,1
7,19,1730.55,91.08157894736841,37,109.4616366776897,376390279.35,19810014.702631578,5209348.666666667,36936306.7470089,57500000,3026315.789473684,0,13191404.697557302,NA,NA,NA,NA,9,9,1
9,21,709.7628205128206,33.79822954822955,23,32.30941422323253,95336792.11794873,4539847.243711844,3842846.8,3607080.3008973724,17700000,842857.1428571428,0,3109432.653808638,NA,NA,NA,NA,6,8,7
10,9,720.3333333333334,80.03703703703704,37.5,59.553825897353946,118355232.33333333,13150581.370370371,5305544,13825614.106238674,34025000,3780555.5555555555,0,10248896.341327576,721127,240375.66666666666,358063.5,203841.30676603146,2,7,0
11,33,9919.366666666667,300.5868686868687,58.5,1198.3269974316563,4290323255.8,130009795.63030303,5447820,451971635.5615015,2430468333.3333335,73650555.55555555,3055000,239406811.91092256,41666.666666666664,41666.666666666664,41666.666666666664,NA,7,20,6
12,12,1358.1666666666667,113.18055555555556,66.33333333333333,115.3366276095767,185625726.83333334,15468810.569444444,10833719.75,14684430.509645175,472280000,39356666.666666664,3550000.0000000005,62802316.73974128,49781,49781,49781,NA,4,7,1
13,10,3430.3333333333335,343.03333333333336,164.75,541.8767387515356,758056139.1666666,75805613.91666667,16874162.583333332,168621757.81987193,32040000,3204000,0,9785621.197564425,174809.83,174809.83,174809.83,NA,7,2,1
14,16,1946,121.625,62.25,187.79594422315586,298798719,18674919.9375,15757500,17024525.461488236,1786133333.3333333,111633333.33333333,6266666.666666667,194352312.14548567,224754.33333333334,112377.16666666667,112377.16666666667,0,11,3,2
15,8,389.6666666666667,48.708333333333336,29.666666666666668,47.15583335121561,72738973.16666667,9092371.645833334,3903090,10440039.301026575,59205000,7400625,972500,11433239.897490624,NA,NA,NA,NA,3,3,2
16,9,1974.1666666666667,219.35185185185185,71.75,280.16300060119323,176273979.91666666,19585997.76851852,9181453.5,24697996.508840248,192616666.66666666,21401851.85185185,326666.6666666667,45860326.44863432,41666.666666666664,41666.666666666664,41666.666666666664,NA,5,2,2
17,220,85072.78333333334,386.6944696969697,64.5,2856.9769276727916,9705934752.5,44117885.23863637,7310102,167033784.0346569,8793225833.333334,39969208.333333336,0,161724119.98009068,2949785.665,173516.80382352942,170963.8,120629.39572062156,80,107,33
18,12,1425.5,118.79166666666667,40.75,150.02900603388383,196839555,16403296.25,5408356.5,27482573.093504593,606985000,50582083.333333336,1570000,114073734.09849544,91975.6,45987.8,45987.8,57965.502651835945,4,4,4
19,20,45208.25,2260.4125,103,9295.081200216708,975666319.9166666,48783315.99583333,10383648.166666668,109927561.465872,785918333.3333334,39295916.666666664,0,87855334.23892061,NA,NA,NA,NA,11,9,0
20,42,16670.166666666668,396.9087301587302,60.66666666666667,1792.518184190507,2626491416.75,62535509.922619045,14439016,219882589.41218385,5283555833.333333,125798948.41269842,0,554286246.6020516,902459.1633333333,451229.58166666667,451229.58166666667,229446.50791556184,21,15,6
21,41,3218.4166666666665,78.4979674796748,36.333333333333336,112.43079119291825,992957705,24218480.609756097,5320185,59470183.674799815,1996398333.3333333,48692642.27642276,2285000,108588439.06004272,825550.2633333333,412775.13166666665,412775.13166666665,283829.31263915997,13,20,8
