cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,1022,125009.04885875205,122.31805172089241,32.5,776.3574637037291,20415284761.20666,19975816.791787338,1856253.8823529412,120827208.525446,6329057500,18560285.923753668,0,66349465.10010745,283585626.3785749,2954016.9414434885,76660.8,24398345.624266367,365,445,1,211
1,40,4990.4890713861305,124.76222678465325,59.5625,281.72317155573796,466070021.4335795,11651750.535839487,5264157.111111111,26656523.91604221,NA,NA,NA,NA,6074963.268888889,467304.8668376069,22825.11111111111,842110.2781294192,27,7,0,6
2,52,5228.408979256038,100.54632652415458,29.75,289.9501659258734,6513588561.469666,125261318.48980126,1679940,625774643.3704188,713773333.3333334,50983809.52380952,0,122495574.14546,4379704.846666667,398154.986060606,290312,500990.8126817398,14,20,0,18
3,46,4750.348318348319,103.26844170322431,36,190.40512303637212,1952653111.7824452,42448980.69092272,2184873.3571428573,120193700.38331074,85860000,8586000,845000,13142043.600597283,4284244.6,252014.38823529411,54816.666666666664,501647.88962171535,13,23,0,10
4,47,5570.8128205128205,118.5279323513366,45,203.92027284511067,772826077.2628205,16443108.026868522,2050319.5,48345787.82569362,307707500,30770750,0,93221061.044657,3691854.7,738370.94,871411.35,614914.7372158044,13,23,0,11
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112540000,25285000,0,92194161.8477622,NA,NA,NA,NA,NA,NA,NA,NA
6,20,1470.7509157509157,73.53754578754578,21.5,163.88626165815785,278063368.2398046,13903168.411990233,1170352.5,37869525.59335064,441800000,14726666.666666666,0,46061172.07571368,2557317,511463.4,310048,305966.7852033534,5,5,0,10
7,37,2004.1399871370459,54.16594559829854,41,50.190318766001035,95791680.45274921,2588964.3365607895,2008933.5,2645194.3956566555,57500000,3026315.789473684,0,13191404.697557302,46479.6,23239.8,23239.8,29362.184824702672,4,23,0,10
8,62,15929.69181929182,256.9305132143842,27.5,1054.7062057340588,1219602628.804823,19671010.142013274,1257138.775,66987988.33555453,NA,NA,NA,NA,1597676.7166666666,159767.67166666666,14708.5,236441.49778030676,12,31,0,19
9,76,7453.418465121583,98.07129559370503,38.55555555555556,161.73954813434668,744406292.8494501,9794819.642755922,2278591.95,22808940.949270137,17700000,842857.1428571428,0,3109432.653808638,169908.64130434784,42477.16032608696,24795.5,53029.910905919634,34,29,0,13
10,44,499.71218736460673,11.357095167377425,2.3225806451612905,17.66203562196815,31422423.86323703,714145.9968917507,100982.80645161291,2290011.041337647,34025000,3780555.5555555555,0,10248896.341327576,1018192.2933333333,1018192.2933333333,1018192.2933333333,NA,3,40,0,1
11,148,11182.229551727045,75.5556050792368,39,136.09294409939892,1055673711.2427388,7132930.481369858,1929452.6071428573,16000811.15942093,2430468333.3333335,73650555.55555555,3055000,239406811.91092256,164614204.96724638,6096822.406194311,119019.11,30092943.541517135,41,73,0,34
12,50,3771.8598473748475,75.43719694749694,36.55555555555556,95.74560748401136,482195362.2342918,9643907.244685836,1950609.5,26820540.89924167,472280000,39356666.666666664,3550000.0000000005,62802316.73974128,3608585.1,721717.02,948694.1,588613.3916699713,22,13,0,15
13,49,1821.1701149425287,37.166737039643444,16.896551724137932,50.07353423880571,166561775.12854406,3399219.900582532,569819.3103448276,9554625.400488924,32040000,3204000,0,9785621.197564425,2490922,830307.3333333334,0,1438134.487230361,30,16,0,3
14,31,2243.346803196803,72.36602590957429,26.5,115.89242292404309,421813466.4132534,13606886.013330756,1609006.5,40937367.34051385,1786133333.3333333,111633333.33333333,6266666.666666667,194352312.14548567,1751843.8433333333,194649.31592592594,56225,274832.0922530501,9,14,0,8
15,87,9516.86282051282,109.38922782198644,65.33333333333333,128.01306245951042,5511095134.196154,63345921.08271441,2969763,407675266.5947842,59205000,7400625,972500,11433239.897490624,25216443.973333333,720469.8278095238,458304.23333333334,1128514.7491064023,23,48,0,16
16,34,3438.1666666666665,101.12254901960785,14.03921568627451,187.2032823551433,477075286.5,14031626.073529411,277860.1176470588,33300429.53592463,192616666.66666666,21401851.85185185,326666.6666666667,45860326.44863432,295086.25,147543.125,147543.125,38810.08601550955,7,26,0,1
17,19,2536.7,133.51052631578946,66,151.13557524707133,5561047674.4,292686719.70526314,5992930,1017032299.4663917,8793225833.333334,39969208.333333336,0,161724119.98009068,8975769.3,815979.0272727272,855174.8,740536.7597380215,8,5,0,6
18,49,6093.569696969697,124.35856524427953,79,151.94534791549705,1256911916.9575758,25651263.6113791,6436851,68108802.76775339,606985000,50582083.333333336,1570000,114073734.09849544,17993972.446666665,749748.8519444445,822703.6166666667,690765.8934618081,21,21,0,7
19,22,716.66,32.57545454545455,33.8,31.327631707579314,45715874.74476191,2077994.3065800865,1465125.8,2828665.485579933,785918333.3333334,39295916.666666664,0,87855334.23892061,NA,NA,NA,NA,12,3,0,7
20,24,3078,128.25,93.25,115.69292658096936,337359141.3333333,14056630.888888888,4755859,16604400.315141505,5283555833.333333,125798948.41269842,0,554286246.6020516,7782815.066666666,972851.8833333333,506748.5,1029132.0709245738,11,10,0,3
21,346,73920.30593283112,213.6425026960437,48,1228.1652110592524,24641369165.95316,71217829.95940219,3326796,376319537.73583096,1996398333.3333333,48692642.27642276,2285000,108588439.06004272,268480091.1673188,3948236.6348135127,120201,28984993.651281163,113,156,0,77
