cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,815,48337.36765045412,59.309653558839415,23,172.27802628455143,32139927195.508904,39435493.49142197,2544099.8333333335,249278071.06800562,1344533833.3333333,1649734.7648261758,0,11931365.686997894,158843612.375,1470774.1886574074,269838,3646136.1218895456,269,342,2,202
1,39,1337.6146125116713,34.29781057722234,14.5,49.39733306375002,462008702.00854343,11846376.974578036,2619138.1,32248089.165051192,236666.66666666666,6068.376068376068,0,37896.99640053729,2562115.0666666664,366016.43809523806,235798.4,304233.62779520365,12,13,0,14
2,42,3598.4027077497667,85.67625494642301,22,120.72888970799677,2732610993.2418766,65062166.50575897,2460568.2142857146,171748088.21375057,35590000,847380.9523809524,0,3835539.0815969543,3125427.7666666666,781356.9416666667,781356.9416666667,736375.1750775054,18,19,0,5
3,58,4312.531111111111,74.3539846743295,27.5,247.07425677949075,2032965798.3696826,35051134.4546497,2763787.166666667,138790436.9989264,60973333.333333336,1051264.367816092,0,4580473.082114885,13461555.303333333,1121796.2752777778,54870.875,2698799.136817123,17,32,0,9
4,75,2461.485247432306,32.819803299097416,19.666666666666668,39.13716778345842,1173729692.3045752,15649729.230727669,2127138.64,45270572.221206255,365630000,4875066.666666667,0,26692612.655534085,3448585.2716666665,246327.5194047619,43394.08333333333,602319.8933978017,20,43,0,12
5,82,8587.07984126984,104.72048586914441,47.25,142.95709063516614,4437949437.750318,54121334.60671119,5870377.166666666,242659268.6586854,97476666.66666667,1188739.837398374,0,4962374.740991027,17909934.608333334,814087.9367424243,143181.25,1905461.252226355,31,41,0,10
6,84,38176.23174603174,454.4789493575208,29.916666666666664,2221.75294550587,44474479831.922226,529458093.2371693,2763578.5,2760680835.5858455,561092333.3333334,6679670.634920635,0,47123274.96757126,80216120.16,3085235.3907692307,115564.52,12436599.46216286,16,42,1,25
7,148,34072.744056956115,230.22124362808185,26.583333333333336,1754.865643105783,8646448079.75767,58421946.484849125,4524883.5,282952063.70315236,56508333.333333336,381813.0630630631,0,2021767.5966850943,7053156.135,352657.80675,64991.403333333335,622254.6676233145,48,72,0,28
8,108,12820.475406162464,118.70810561261541,26.75,259.43225782753706,31773731012.844574,294201213.0818942,2565025.166666667,1046854248.8763752,417855000,3869027.777777778,0,16645224.907100052,21892886.223333333,1216271.456851852,263300.125,3138038.975162357,34,47,0,27
9,91,7896.929295051354,86.77944280276213,23.5,225.57310677567924,16786287790.590687,184464700.99550205,3891216.6666666665,796008049.5006132,76860000,844615.3846153846,0,3757506.9804927898,135168612.00333333,9011240.800222222,643744,29744273.951024618,35,42,0,14
10,49,1313.7460317460318,26.811143505021057,7.142857142857143,32.124030867617655,556986611.8333334,11367073.710884353,3035314.880952381,38785698.65495138,179027500,3653622.448979592,0,12328138.768066082,10930932.3,1561561.7571428572,511590,1580341.3031787947,29,14,0,6
11,31,1122.9714285714285,36.22488479262673,10.95,80.06683515444958,1141866795.231746,36834412.749411166,3035314.880952381,70496240.04747866,13333.333333333334,430.10752688172045,0,1664.873587431383,17595,8797.5,8797.5,0,12,16,0,3
12,32,2338.2619047619046,73.07068452380952,36.5,88.55242237076736,716269293.1190476,22383415.40997024,2697467.5,58467352.6362696,805036666.6666666,25157395.833333332,0,77252962.69264802,9574093.525,797841.1270833333,776682.8,636560.8107575641,13,11,0,8
13,472,64521.79784907903,136.69872425652335,38.29166666666667,442.96136513138583,133406542464.55016,282640979.79777575,4688785.5,2722926425.6229877,4426964666.666667,9379162.429378532,0,77365974.4211397,47972834.08833333,592257.2109670782,207708.5,1259057.3643677721,156,230,3,83
