cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,1081,101153.35350771855,93.57387003489228,31,279.7842824035919,11929534894.83324,11035647.451279594,1177221,118648275.40027818,620759298.245614,574245.4192836393,0,6169833.687942857,20659395.6043135,350159.2475307373,30943,1064344.6225507648,265,466,5,345
1,45,16164.74256183938,359.21650137420846,125.33333333333333,433.3823543427568,1072616285.91139,23835917.464697555,3283725.5,48738864.311712295,10131666.666666666,225148.14814814815,0,1188064.795098016,5216197.936231884,474199.81238471676,30943,594772.771023272,28,9,0,8
2,87,5115.141499008313,58.79472987365877,23.25,110.63914226885262,534989254.0436192,6149301.7706163125,1286320,21325975.535412185,13500000,155172.41379310345,0,697601.9756562152,2684330.136521739,447388.3560869565,23304.4,673895.8611672408,22,29,3,33
3,48,2978.3573191290247,62.049110815188016,33,122.40005484510581,497949662.9006724,10373951.310430676,1784159.1071428573,28243085.755580682,35010000,729375,0,2628011.469136863,1889729.4565217393,209969.93961352657,23304.4,503237.8677128134,14,20,1,13
4,40,1916.3955341877934,47.909888354694836,29.5,54.92132300479938,73837758.53658478,1845943.9634146194,710210.0833333333,2581327.808078789,0,0,0,0,0,0,0,NA,15,8,0,17
5,77,7258.536155705938,94.26670332085634,25.333333333333332,183.3661281345769,405761504.90434843,5269629.933822707,1471372.1666666667,8579169.961674262,30555000,396818.1818181818,0,3479180.078572932,472815.5,157605.16666666666,62401.5,220713.91733663587,30,24,0,23
6,49,5312.375293668955,108.41582231977459,30,219.57053024992345,1011038848.4508009,20633445.88675104,1216121.8333333333,52162222.85858195,38201052.631578945,779613.3190118152,0,3089557.5273402887,3865298.80798627,483162.3509982838,109372.38421052632,695944.7045229019,13,15,0,21
7,88,8768.882153760012,99.64638811090923,27.285714285714285,251.5578647699575,668687062.6256514,7598716.620746039,1551810.5,22395668.501958225,78546052.63157895,892568.7799043062,0,7818255.768948021,10498707.764942791,954427.9786311629,15549,1728799.502262489,28,31,0,29
8,50,8628.379028547926,172.56758057095854,49.66666666666667,315.74035100726365,616149429.734962,12322988.59469924,1261686,39501302.53033414,60250000,1205000,0,6288085.99736073,5327.913043478261,2663.9565217391305,2663.9565217391305,0,19,22,0,9
9,41,5064.62158206611,123.52735566014901,58.5,134.57431361332232,5978529536.692842,145817793.57787418,1850225,697355903.5665095,1018541666.6666666,24842479.67479675,0,122439832.30387188,12715043.825,2119173.970833333,1445450,2617610.2888454054,20,9,1,11
10,43,3844.289177547449,89.40207389645231,28.5,176.73742288492036,567241214.6194195,13191656.153939987,1087020,41099846.03768556,4510000,104883.72093023256,0,480501.33587358653,1522139.5130434784,253689.91884057972,2663.9565217391305,390587.63666678953,11,18,1,13
11,779,125308.21425201502,160.85778466240697,35.666666666666664,992.2222923824771,20117194650.487778,25824383.376749393,1527505,205106353.29486498,352848157.8947368,452950.1385041551,0,4209715.061213799,10956806.587292144,273920.1646823036,2663.9565217391305,846064.3585219638,201,304,4,270
12,35,6189.124523264683,176.83212923613382,43.75,250.63433995886356,706925766.0950202,20197879.03128629,1871221.6666666667,51799860.64488911,4871052.631578947,139172.93233082708,0,823358.1713170969,233376.94813119757,58344.23703279939,17636.3115942029,92481.09013788725,15,11,0,9
13,163,32179.880598381602,197.42258035816934,37.333333333333336,1269.1765466024638,1230612476.1477554,7549769.792317517,1471372.1666666667,25582378.26291034,15000000,92024.53987730062,0,1174890.674981936,14854.379710144927,2122.0542443064182,471,2862.5569438322045,52,71,1,39
14,100,8208.860026086764,82.08860026086765,32.5,184.88416489594374,762326701.2153035,7623267.012153035,1144952.5,27599636.139056332,19871052.63157895,198710.52631578947,0,1572421.9445956238,344161.2814645309,49165.897352075845,30943,69004.95537666384,25,42,0,33
15,35,2641.9824045769324,75.48521155934093,32.833333333333336,149.0831711804771,124261434.85939953,3550326.710268558,1092517.375,4967756.207042939,3760000,107428.57142857143,0,443703.28491235763,2490922,2490922,2490922,NA,7,24,0,4
16,87,39440.380398923415,453.33770573475186,30,3013.389065893973,1454407562.1096148,16717328.300110515,1655193.3333333333,78960894.28005795,0,0,0,0,3134.9565217391305,1567.4782608695652,1567.4782608695652,1550.6544273690038,26,42,0,19
17,37,2471.895507246377,66.80798668233452,34,135.5467360061689,316620366.61956525,8557307.205934195,1731103.5,31555356.904495127,350000,9459.45945945946,0,40117.60114864699,350763.95652173914,116921.31884057971,174050,98949.77833751882,5,20,0,12
18,237,32723.24065023879,138.07274535965735,31.5,683.5875397720469,2661350606.5649333,11229327.453860478,1483515.3333333333,37121591.42077401,176745000,745759.493670886,0,11108924.886441063,3332293.395942029,222152.89306280194,2663.9565217391305,538369.2436230542,72,98,0,67
