cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Small
0,141,12546.536363636364,88.98252740167634,34.5,137.35973366525803,2038169672.3333333,14455104.059101654,4466196,31881586.09636904,12065423741.758242,7290286.248796521,0,72924571.1977948,341131.26666666666,56855.21111111111,45279.8,50679.840937559144,58,53,30
1,15,1884.3333333333333,125.62222222222222,102,111.55169039342088,220632232.66666666,14708815.51111111,5402500,18215149.371423054,2498703333.3333335,39661957.67195767,0,282990338.6298622,665396,665396,665396,NA,8,5,2
2,135,28057.055194805194,207.83003848003847,30.75,640.5273146207111,2349183692.3487015,17401360.684064455,4437787,38447495.473584704,463407857.14285713,5941126.373626374,0,26888622.581225045,1074167.006,107416.7006,13600.5,158790.3923212693,54,39,42
3,15,2182.4,145.49333333333334,90,212.42617922244804,1637728988,109181932.53333333,6965435.5,337738763.92791116,342907875.4578755,3329202.6743483054,0,10303771.235458642,939374,234843.5,307374.3333333333,145061.66666666666,11,3,1
4,16,772.5454545454545,48.28409090909091,9.25,82.8328514230309,73141104.81818181,4571319.051136363,5587763.636363637,3331162.2975987056,858398589.7435898,10098806.93815988,0,52007046.00259524,NA,NA,NA,NA,8,4,4
5,26,2315.589393939394,89.06113053613053,35.541666666666664,119.24938546000193,307702489.1727273,11834711.122027973,4966210.318181818,17137679.52173592,72506666.66666667,1342716.0493827162,0,7974473.657547297,337232.002,337232.002,337232.002,NA,14,6,6
6,36,2277.3266233766235,63.25907287157287,29.875,70.40457973552743,292347786.5149351,8120771.847637085,5256686.318181818,10594724.160163406,4271986000,18736780.701754387,0,155087160.7591272,8797.5,4398.75,4398.75,6220.771907488652,11,17,8
7,12,353.030303030303,29.41919191919192,12,37.590210015747736,83968919.87878788,6997409.98989899,5587763.636363637,9283304.405177154,243814761.9047619,4432995.670995671,0,10351357.904139172,NA,NA,NA,NA,4,3,5
8,18,1684.5166666666667,93.58425925925926,34.16666666666667,151.6490434139737,288535366.6,16029742.58888889,3297208.333333333,32284448.689513404,767725179.4871795,5406515.348501264,0,27103331.571967166,346029.502,115343.16733333333,8797.5,192211.70675549656,5,11,2
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,132007500,3384807.6923076925,0,16304390.426078243,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,55007142.85714286,611190.4761904762,0,2468279.3336376864,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,134835000,3745416.6666666665,0,19483354.044451088,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,131399761.90476191,1275725.8437355524,0,6253795.863931443,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,156157666.66666666,3718039.682539683,0,13359795.737895042,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,576748333.3333334,9454890.710382514,0,46623792.959124036,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,979941666.6666666,12249270.833333334,49999.99999999999,25225374.11308562,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,190058333.33333334,4131702.8985507246,0,14581608.19209575,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,147243333.33333334,3591300.81300813,0,18725442.17050322,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,753100000,17930952.38095238,172500,65423493.190641925,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2950305952.3809524,40415150.03261579,0,264408898.76293772,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,5065668095.238095,72366687.07482994,0,313678406.82165444,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1239420333.3333333,31780008.547008548,0,101933751.85124251,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,39762931804.029305,29541554.08917482,0,161454777.80224577,NA,NA,NA,NA,NA,NA,NA
