Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
British Patient Capital,2477,https://www.britishpatientcapital.co.uk/,Finance|Healthcare|Life Sciences & Biotech|Technology & Communications,Fintech,,Provider type>British Business Bank ,,British Business Bank,,,UK,Scaling firm focus,,Financial support/access,Delivered in exchange for equity,Service,,1,2018,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/British-Patient-Capital.jpg,Ecosystem,,Finance,"British Patient Capital's mission is to enable long-term investment in innovative companies across the UK led by ambitious entrepreneurs who want to build successful, world-class businesses.

The UK provides a fertile ground for innovation to thrive and British Patient Capital will enable greater availability of this type of long-term finance and will help build the UK’s innovation economy.",,,,,England,England,S1 2GQ,United Kingdom,"53.38221,-1.47242"
Creative Enterprise,2482,https://www.wearecreative.uk/support/creative-enterprise/,"Creative, digital, film, games & media",Creative Industries,,Provider type>Public/hybrid mix,,Creative UK,,,UK,Scaling firm focus,,Access to peer networks|Financial support/access|Leadership development/capacity building|Skills training,Free,Service,National Lottery,1,2021,Haley Edwards,creativeenterprise@creativeengland.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Creative-UK-logo.png,Support Offer,,Leadership,"Creative Enterprise aims to bring together companies who work in moving image for storytelling, spanning film and television, games and technology, to build meaningful connections and create opportunities for business growth. It provides a network and training for business leaders through events and bespoke workshops led by industry leaders and mentors. Creative Enterprise has been developed with National Lottery funding from the BFI, to make the moving image sector sustainable through creating new business opportunities through training and building of networks, whilst growing and scaling existing businesses.",|,|Victoria Street,|,|,England|England,England|England,M50 2AB,United Kingdom|United Kingdom,"53.47368,-2.30176"
E Factor Group,2484,http://www.e-factor.co.uk,Engineering / Advanced Engineering|Environmental Science & Technology|Food & Drink|Healthcare|Transport & Logistics,Advanced Manufacturing,,Provider type>Private sector,,E-Factor Business,,,East Midlands,Scaling firm focus,,Leadership development/capacity building|Skills training,Free,Service,,,,Tim Maddinson,info@e-factor.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/efactors.png,Ecosystem,,Leadership,"E-Factor Business has worked with thousands of businesses, from micro companies through to large established firms employing hundreds of people. Their success is entirely down to them and the actions they take, but we have been able to offer them professional, objective qualified advice based on the years of experience our Advisors have gained working with thousands of real businesses. The advice and support you get from E-Factor is always free, completely independent, entirely confidential and most of all, delivered by people who understand business.",,Prince Albert Gardens,,,England,England,DN31 3AG,United Kingdom,"53.57409,-0.07633"
Future Fifty,2495,https://technation.io/programmes/future-fifty/,Technology & Communications,Technology,,Provider type>Private sector,,Tech Nation,,,UK,Scaling firm focus,,Access to peer networks|Leadership development/capacity building|Skills training,Free,Service,,,,Johnny Mayo,johnnymayo@technation.io,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/12/Tech-Nation-web-logo.png,Support Offer,,Leadership,"Future Fifty aim to deliver a programme that enables you to develop your leadership skills, learn from others in the Future Fifty community, and apply those learnings in your workplace straight away. Companies selected to join the Future Fifty programme will receive; recognition as one of the UK’s most successful digital businesses, peer-to-peer networks, masterclass workshops led by global experts, access to government through sessions with key officials and exclusive ministerial roundtables and access to a dedicated Tech Nation Visa team.",|,Finsbury Avenue|Hardman Street,|,|,England|England,England|England,EC2M 2PA,United Kingdom|United Kingdom,"51.51964,-0.08408"
Techstart Ventures,2536,https://www.techstart.vc/,Technology & Communications,Technology,,Provider type>Private sector,,Techstart,,,"Northern Ireland, Scotland",Scaling firm focus,,Financial support/access,Delivered in exchange for equity,Service,,,,,northernireland@techstart.vc,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/techstart.png,Financier,,Finance,"Techstart provide startup and early stage seed capital for ambitious founders. Working with great teams to build successful companies in exciting markets, we invest capital to prove out business ideas and fuel early growth.",,Talbot Street,,,Northern Ireland,Northern Ireland,BT1 2LD,United Kingdom,"54.60250,-5.92783"
Creative Growth Finance,2550,https://www.wearecreative.uk/support/creative-enterprise/investment/creativegrowthfinance/,,Creative Industries,,Provider type>Public/hybrid mix,,Creative UK,,,UK,Scaling firm focus,,Financial support/access,Delivered for a fee,Service,,,2019,Tim Evans,tim.evans@wearecreative.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Creative-UK-logo.png,Financier,,Finance,"The Creative Growth Finance  is a partnership between Creative England and Triodos Bank UK offering loans of £100,000 to £1m that will help businesses to grow.

Finance is directed to post-revenue creative businesses presenting promising growth potential and who:
<ul>
 	<li>Bring change, disruption and new IP to the creative industries</li>
 	<li>Harness creativity with technologies and supporting businesses</li>
 	<li>Are talent led</li>
</ul>",|,|Victoria Street,|,|,England|England,England|England,M50 2AB,United Kingdom|United Kingdom,"53.47368,-2.30176"
EM3 Growth Hub,2554,https://www.enterprisem3growthhub.co.uk/,Defence & Security|Engineering / Advanced Engineering|Life Sciences & Biotech|Technology & Communications,Advanced Manufacturing,,Provider type>Public/hybrid mix,,EM3 Growth Hub,1,1,South East,Scaling firm focus,,Access to corporate collaboration|Access to talent and skills|Financial support/access|Leadership development/capacity building|Skills training|Support for R&D and/or innovation|Support to enter international markets,Free,Service,,,,,info@enterprisem3.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/enterprisem3.png,Ecosystem,,Leadership,"The Enterprise M3 Growth Hub is an expert advice and resource network which helps businesses achieve results quickly through a free personal, tailored service focused on Growth, aimed at businesses looking to succeed in the Enterprise M3 area. Delivered by UMi with its expert partners, SETsquared, Business South and the County Councils of Hampshire and Surrey, the Enterprise M3 Growth Hub is driving impact by working in new ways based on what businesses tell us they need, to help them fulfil their potential.",,,,,England,England,RG21 4HG,United Kingdom,"51.26805,-1.07419"
Global Business Innovation Programme,2560,https://www.innovateukedge.ukri.org/gbip,Technology & Communications,Technology,,Provider type>Innovate UK,,Innovate UK,,,UK,Scaling firm focus,,Support for R&D and/or innovation|Support to enter international markets,Free,Programme,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/11/UKRI_IUK_EDGE_HORIZONTAL_LOGO_RGB-scaled-1.jpeg,Ecosystem,,Access to markets,"The Global Business Innovation Programme helps ambitious businesses build collaborations and partnerships in new markets, accelerating business growth.

Typically, up to 15 high-growth innovative businesses are supported to explore and exploit the opportunities that exist in specific markets and technology and innovation areas. The Global Business Innovation Programme (GBIP) provides the sort of detailed market knowledge, introductions and cultural insight that small companies would find difficult to generate themselves. The Programme is designed to help companies find partners, build collaborations and explore R&D and innovation opportunities.",||,||,||,||Stoke Gifford,England|England|England,England|England|England,SN2 1FL,United Kingdom|United Kingdom|United Kingdom,"51.56673,-1.78476"
Lloyds Bank Social Entrepreneurs Scale Up Programme,2576,https://www.the-sse.org/courses/lloyds-bank-scale-up-programme-2018/,Impact Ventures / Social Impact,Professional Services,,Provider type>Private sector,,LLoyds Bank,,,UK,Scaling firm focus,,Financial support/access|Leadership development/capacity building|Skills training,Free,Programme,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/lloysbank.png,Financier,,Leadership,"Lloyds Bank Social Entrepreneurs Scale Up Programme is for established social enterprises, with plans to significantly scale up their social impact. The programme helps social entrepreneurs to increase their resilience, develop different income streams and different remote and flexible working patterns. Scaling social businesses are further are supported with:
<ul>
 	<li>Up to £7,000 Trade Back grant</li>
 	<li>Free learning programme (14 days spread over a year) focused on recovery, rebuilding, resilience and managing change</li>
 	<li>A support network</li>
 	<li>A mentor</li>
</ul>",,,,,England,England,EC2N 3AH,United Kingdom,"51.51533,-0.08281"
Raise,2587,https://www.pwc.co.uk/private-business-private-clients/raise/programme-supporting-high-growth-scale-ups-series-a.html,Technology & Communications,Technology,,Provider type>Private sector,,PWC,,,UK,Scaling firm focus,,Access to corporate collaboration|Financial support/access|Skills training,Delivered for a fee,Service,,,,Thomas Hudson,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/pwc.png,Financier,,Finance,"The objective of Raise is to make the fundraising process for entrepreneurs and investors as efficient as possible, and minimise the high levels of disruption typically associated with a fundraise for the management team. Split into three parts it covers intensive workshops, investor engagement and ongoing negotiation support.",,Embankment Place,,,England,England,WC2N 6RH,United Kingdom,"51.50799,-0.12469"
