University Name,Faculty name,Latitude,Longitude,Postcode,Sector,Website
University of Birmingham,Birmingham Institute of Industrial Manufacturing,52.4075,-1.9877,B15 2TT,Advanced Manufacturing,https://www.birmingham.ac.uk/research/activity/mechanical-engineering/advanced-manufacturing-research-group
University of Bradford,School of Engineering,53.7874,-1.759,BD7 1DP,Advanced Manufacturing,https://www.bradford.ac.uk/ei/
University of Brighton,School of Engineering and Design,50.819,-0.1357,BN2 4GJ,Advanced Manufacturing,https://www.brighton.ac.uk/about-us/contact-us/academic-departments/school-of-architecture-technology-and-engineering.aspx
University of Cambridge,"Institute for Manufacturing (IfM), Department of Engineering",52.2043,0.1218,CB2 1TN,Advanced Manufacturing,https://www.ifm.eng.cam.ac.uk/
Cranfield University,Centre for Advanced Manufacturing,52.0671,-0.6355,MK43 0AL,Advanced Manufacturing,https://www.cranfield.ac.uk/themes/manufacturing-and-materials
University of Derby,Department of Engineering and Technology,52.9224,-1.4804,DE22 1GB,Advanced Manufacturing,https://www.derby.ac.uk/departments/school-of-engineering/
University of Exeter,Department of Engineering,50.7396,-3.533,EX4 4QJ,Advanced Manufacturing,https://engineering.exeter.ac.uk/
Loughborough University,"Wolfson School of Mechanical, Electrical and Manufacturing Engineering",52.7702,-1.2104,LE11 3TU,Advanced Manufacturing,https://www.lboro.ac.uk/schools/meme/
University of Manchester,"Department of Mechanical, Aerospace and Civil Engineering",53.4668,-2.2335,M13 9PL,Advanced Manufacturing,https://www.mace.manchester.ac.uk/
University of Nottingham,Nottingham Industrial Engineering Centre,52.9425,-1.1952,NG7 2RD,Advanced Manufacturing,https://www.nottingham.ac.uk/engineering/departments/m3/index.aspx
University of Sheffield,Advanced Manufacturing Research Centre (AMRC),53.362,-1.4654,S1 4DP,Advanced Manufacturing,https://www.amrc.co.uk/
University of Southampton,School of Engineering,50.9352,-1.3963,SO17 1BJ,Advanced Manufacturing,https://www.southampton.ac.uk/about/faculties-schools-departments/school-of-engineering
University of Sunderland,School of Engineering,54.9052,-1.3845,SR1 3SD,Advanced Manufacturing,https://www.sunderland.ac.uk/study/engineering/
University of Warwick,Warwick Manufacturing Group (WMG),52.378,-1.5609,CV4 7AL,Advanced Manufacturing,https://warwick.ac.uk/fac/sci/wmg/
University of Strathclyde,Department of Mechanical and Aerospace Engineering,55.8602,-4.2415,G1 1XQ,Advanced Manufacturing,https://www.strath.ac.uk/engineering/mechanicalaerospaceengineering/
Cardiff University,School of Engineering (Manufacturing and Management),51.4843,-3.1712,CF10 3AT,Advanced Manufacturing,https://www.cardiff.ac.uk/engineering
Queen's University Belfast,School of Mechanical and Aerospace Engineering,54.5891,-5.934,BT7 1NN,Advanced Manufacturing,https://www.qub.ac.uk/schools/SchoolofMechanicalandAerospaceEngineering/Connect/Discover/
University of Cambridge,Department of Plant Sciences,52.2043,0.1149,CB2 3EA,Agritech,https://www.plantsci.cam.ac.uk/
University of Reading,"School of Agriculture, Policy and Development",51.4415,-0.9418,RG6 6AH,Agritech,https://www.reading.ac.uk/apd/
Harper Adams University,Crop and Environment Research Centre,52.7815,-2.4245,TF10 8NB,Agritech,https://www.harper-adams.ac.uk/business/1055/cerc/
University of Nottingham,School of Biosciences,52.9393,-1.2037,LE12 5RD,Agritech,https://www.nottingham.ac.uk/biosciences/
